start,end,estimated,cost_usd,service,resource_id
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.3440000865,EC2 - Other,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-01dc061291fc51e75
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.3440000825,EC2 - Other,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-05f85018216cac061
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0776926348,EC2 - Other,arn:aws:ec2:ap-south-1:108782052779:snapshot/snap-053909bfd492a6457
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.2480001701,EC2 - Other,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0a2bfbfedf38f8e87
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.2480000989,EC2 - Other,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0ec6ae9605269bef4
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.0800000639,EC2 - Other,arn:aws:ec2:us-east-1:108782052779:natgateway/nat-089a96601cfd34f9d
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0432491179,EC2 - Other,arn:aws:ec2:us-east-1:108782052779:snapshot/snap-07690eaa1400bc7f6
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.0939683596,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00246c8ef3b9087f1
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.0842470788,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00ac08b685fea726f
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,3.8550093439,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00f3c26e43ede9b10
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.0869832924,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-0234e77781575cced
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0003555462,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:snapshot/snap-01a644dc0db7d2316
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0432491179,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:snapshot/snap-0356dd0198dfe4b00
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,9.7886e-05,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:snapshot/snap-03a557813894c371c
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,9.82469e-05,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:snapshot/snap-091fccd838e171241
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0055687689,EC2 - Other,arn:aws:ec2:us-west-2:108782052779:snapshot/snap-0ad64693143631bb2
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,1.3074211791,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:natgateway/nat-01432c586ef9dbf51
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0056349231,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-002695a204188d63e
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0053868448,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-010eb6cbb466b71fd
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0066185736,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-01511ff7171eb9225
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0275556011,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-01617e5cf1a7141a9
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.005452999,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-016bea26228ab194d
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0072431011,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0225be64252283430
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0053167528,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-031f9c5ef8426bd1c
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0059971963,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0338d1716afca4e43
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0074620401,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-04835772777dad20e
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0051915323,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-050a336ac34adee25
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0057711694,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-06c0c905738f06aaf
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0055081275,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-07c960f2e8ecd2246
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0058514995,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0818ddb9763ebade7
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0060846144,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-081d1157989f4430b
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0067713584,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-09a81377b032dbfba
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0054207094,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0a1b0a3f89ddb1991
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0055750693,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0a263ead2c9955ffe
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0060412991,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0aa6b361bd48001c2
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.006195659,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0aaadd230c3f34822
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0077203566,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0ad2c3c6333d7af72
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0050450479,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0bace1a1137e22c44
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0054260254,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0bed9cd5c78dd7a9e
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0059940461,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0cd392bfda857c555
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0047489289,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0d2a28c3feb1b3215
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.012139827,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0daf5245a270f593f
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0051781439,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0dd884c697c716097
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0059397051,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0dec4b2eb2d9b764b
2026-07-01T00:00:00Z,2026-07-02T00:00:00Z,True,0.0056955645,EC2 - Other,arn:aws:ec2:us-west-2:171675361862:snapshot/snap-0e339244a4847882d
