sample_slice_start,event_time,event_name,principal_arn,user_name,access_key_suffix,source_ip,user_agent,start_date,end_date,granularity,metric,group_one_type,group_one_key,group_two_type,group_two_key
2026-07-01T00:00:00Z,2026-07-01T05:57:21Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:21Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:20Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:20Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:20Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:20Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:20Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:20Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:20Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
2026-07-01T00:00:00Z,2026-07-01T05:57:19Z,GetCostAndUsage,arn:aws:iam::108782052779:user/daylily-service,daylily-service,B64,32.194.124.0,"Boto3/1.43.15 md/Botocore#1.43.15 ua/2.1 os/linux#6.17.0-1019-aws md/arch#x86_64 lang/python#3.12.13 md/pyimpl#CPython m/Z,n,b,D cfg/retry-mode#legacy Botocore/1.43.15",,,,,,,,
