service,kind,region,resource_id,arn,name,user_tag_count,untagged,user_tags,all_tags,state,volume_size_gib,start_time,associated,public_ip,size_gib,volume_type,attached_instance_ids,db_class,engine,allocated_storage_gib,cluster_id,lb_type,creation_date,has_lifecycle
EBS,snapshot,ap-south-1,snap-053909bfd492a6457,arn:aws:ec2:ap-south-1:108782052779:snapshot/snap-053909bfd492a6457,,0,True,,,completed,421,2025-03-16T08:02:29.228Z,,,,,,,,,,,,
EC2,elastic_ip,ap-south-1,eipalloc-0dc16bbf830c83d81,arn:aws:ec2:ap-south-1:108782052779:elastic-ip/eipalloc-0dc16bbf830c83d81,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1c/f2fd90b0-072e-11f1-9298-02a68a59f20b;aws:cloudformation:stack-name=pcluster-vpc-stack-1c,,,,True,13.126.2.239,,,,,,,,,,
EC2,elastic_ip,ap-south-1,eipalloc-033c9e0da1444ac1b,arn:aws:ec2:ap-south-1:108782052779:elastic-ip/eipalloc-033c9e0da1444ac1b,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1a/769891e0-fcc2-11ef-9a8e-0ad1d3b859f3;aws:cloudformation:stack-name=pcluster-vpc-stack-1a,,,,True,13.200.193.5,,,,,,,,,,
VPC,nat_gateway,ap-south-1,nat-05f85018216cac061,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-05f85018216cac061,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1c/f2fd90b0-072e-11f1-9298-02a68a59f20b;aws:cloudformation:stack-name=pcluster-vpc-stack-1c,available,,,,,,,,,,,,,,
VPC,nat_gateway,ap-south-1,nat-01dc061291fc51e75,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-01dc061291fc51e75,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1a/769891e0-fcc2-11ef-9a8e-0ad1d3b859f3;aws:cloudformation:stack-name=pcluster-vpc-stack-1a,available,,,,,,,,,,,,,,
EC2,elastic_ip,eu-central-1,eipalloc-064b4a732e3617a01,arn:aws:ec2:eu-central-1:108782052779:elastic-ip/eipalloc-064b4a732e3617a01,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1a/5c28aa80-0009-11f0-b2da-023a831da7a7;aws:cloudformation:stack-name=pcluster-vpc-stack-1a,,,,True,3.64.87.65,,,,,,,,,,
EC2,elastic_ip,eu-central-1,eipalloc-0a47cd6baa930d38f,arn:aws:ec2:eu-central-1:108782052779:elastic-ip/eipalloc-0a47cd6baa930d38f,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1c/6ecb58d0-fcc2-11ef-9f3b-02eaee40b12f;aws:cloudformation:stack-name=pcluster-vpc-stack-1c,,,,True,52.57.143.151,,,,,,,,,,
VPC,nat_gateway,eu-central-1,nat-0ec6ae9605269bef4,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0ec6ae9605269bef4,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1a/5c28aa80-0009-11f0-b2da-023a831da7a7;aws:cloudformation:stack-name=pcluster-vpc-stack-1a,available,,,,,,,,,,,,,,
VPC,nat_gateway,eu-central-1,nat-0a2bfbfedf38f8e87,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0a2bfbfedf38f8e87,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1c/6ecb58d0-fcc2-11ef-9f3b-02eaee40b12f;aws:cloudformation:stack-name=pcluster-vpc-stack-1c,available,,,,,,,,,,,,,,
EBS,volume,us-east-1,vol-0aa3f5a0f5cdca9a0,arn:aws:ec2:us-east-1:108782052779:volume/vol-0aa3f5a0f5cdca9a0,,0,True,,,in-use,,,,,336,gp3,i-05de16a24310099c5,,,,,,,
EBS,volume,us-east-1,vol-0dba752186e34e08c,arn:aws:ec2:us-east-1:108782052779:volume/vol-0dba752186e34e08c,,0,True,,,in-use,,,,,336,gp3,i-02876b4893e5654c2,,,,,,,
EBS,volume,us-east-1,vol-0f2da5c82d0de1378,arn:aws:ec2:us-east-1:108782052779:volume/vol-0f2da5c82d0de1378,,0,True,,,in-use,,,,,336,gp3,i-0b13373722116c733,,,,,,,
EBS,volume,us-east-1,vol-00cbb7ba932dbd3a4,arn:aws:ec2:us-east-1:108782052779:volume/vol-00cbb7ba932dbd3a4,,0,True,,,in-use,,,,,336,gp3,i-0e70fab85d559c615,,,,,,,
EBS,volume,us-east-1,vol-09454929e2c583ae7,arn:aws:ec2:us-east-1:108782052779:volume/vol-09454929e2c583ae7,,0,True,,,in-use,,,,,8,gp3,i-0ab7116abc8229a16,,,,,,,
EBS,volume,us-east-1,vol-0f9efeb41e207d738,arn:aws:ec2:us-east-1:108782052779:volume/vol-0f9efeb41e207d738,,0,True,,,in-use,,,,,336,gp3,i-068f3aad2bedb9fa6,,,,,,,
EBS,volume,us-east-1,vol-014b3f723fb89dc63,arn:aws:ec2:us-east-1:108782052779:volume/vol-014b3f723fb89dc63,,0,True,,,in-use,,,,,336,gp3,i-018a4be07f5bdfa49,,,,,,,
EBS,snapshot,us-east-1,snap-07690eaa1400bc7f6,arn:aws:ec2:us-east-1:108782052779:snapshot/snap-07690eaa1400bc7f6,,0,True,,,completed,336,2026-06-19T21:50:37.422Z,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-05ec07b8b3f8ab7a0,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-05ec07b8b3f8ab7a0,,0,True,,,,,,True,34.196.251.98,,,,,,,,,,
EBS,volume,us-west-2,vol-0b6a14b3d2c01264d,arn:aws:ec2:us-west-2:108782052779:volume/vol-0b6a14b3d2c01264d,,0,True,,,in-use,,,,,8,gp3,i-0cce1c2d935e86786,,,,,,,
EBS,volume,us-west-2,vol-08a142d0b31d6421f,arn:aws:ec2:us-west-2:108782052779:volume/vol-08a142d0b31d6421f,,0,True,,,in-use,,,,,20,gp3,i-03c42907b08018d1a,,,,,,,
EBS,volume,us-west-2,vol-0746a2cbb0acde1dd,arn:aws:ec2:us-west-2:108782052779:volume/vol-0746a2cbb0acde1dd,,0,True,,,in-use,,,,,30,gp3,i-0fc4922e2b51bc35e,,,,,,,
EBS,volume,us-west-2,vol-0b481de207f5b19f1,arn:aws:ec2:us-west-2:108782052779:volume/vol-0b481de207f5b19f1,,0,True,,,in-use,,,,,20,gp3,i-088957ddbc7fcf3d1,,,,,,,
EBS,volume,us-west-2,vol-0c26833469cf6995a,arn:aws:ec2:us-west-2:108782052779:volume/vol-0c26833469cf6995a,,0,True,,,in-use,,,,,234,gp3,i-02a5b297000e82966,,,,,,,
EBS,volume,us-west-2,vol-0b98b1e8d330cca41,arn:aws:ec2:us-west-2:108782052779:volume/vol-0b98b1e8d330cca41,,0,True,,,in-use,,,,,2,gp3,i-03cd726ad5d7f3f3d,,,,,,,
EBS,volume,us-west-2,vol-0af8f94e0cd058ddf,arn:aws:ec2:us-west-2:108782052779:volume/vol-0af8f94e0cd058ddf,,0,True,,,in-use,,,,,8,gp3,i-09f66b3f11ea42c60,,,,,,,
EBS,snapshot,us-west-2,snap-0356dd0198dfe4b00,arn:aws:ec2:us-west-2:108782052779:snapshot/snap-0356dd0198dfe4b00,,0,True,,,completed,336,2026-06-19T21:19:16.999Z,,,,,,,,,,,,
EC2,elastic_ip,us-west-2,eipalloc-0e23d5a2d6a908513,arn:aws:ec2:us-west-2:108782052779:elastic-ip/eipalloc-0e23d5a2d6a908513,,0,True,,,,,,True,100.20.61.49,,,,,,,,,,
EC2,elastic_ip,us-west-2,eipalloc-0d243e5344b4f6a39,arn:aws:ec2:us-west-2:108782052779:elastic-ip/eipalloc-0d243e5344b4f6a39,,0,True,,,,,,True,44.226.13.194,,,,,,,,,,
EC2,elastic_ip,us-west-2,eipalloc-08aa7ee07f8adf8dc,arn:aws:ec2:us-west-2:108782052779:elastic-ip/eipalloc-08aa7ee07f8adf8dc,,0,True,,,,,,True,44.237.63.190,,,,,,,,,,
EC2,elastic_ip,us-west-2,eipalloc-0339d3e066d497bad,arn:aws:ec2:us-west-2:108782052779:elastic-ip/eipalloc-0339d3e066d497bad,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/pcluster-vpc-stack-2c/55905610-7ac3-11f1-96fd-0a01964deb9d;aws:cloudformation:stack-name=pcluster-vpc-stack-2c,,,,True,52.37.139.101,,,,,,,,,,
EC2,elastic_ip,us-west-2,eipalloc-0404170040b2023eb,arn:aws:ec2:us-west-2:108782052779:elastic-ip/eipalloc-0404170040b2023eb,,0,True,,,,,,True,52.42.185.122,,,,,,,,,,
