date,operation,requests,cost_usd,estimated
2026-07-01,CostDataStorage,11582,0.12,True
2026-07-01,GetCostAndUsage,2258,22.58,True
2026-07-02,CostDataStorage,11896,0.12,True
2026-07-02,GetCostAndUsage,1288,12.88,True
2026-07-02,GetDimensionValues,6,0.06,True
2026-07-02,GetTags,2,0.02,True
2026-07-03,CostDataStorage,11668,0.12,True
2026-07-03,GetCostAndUsage,3879,38.79,True
2026-07-04,CostDataStorage,11483,0.11,True
2026-07-04,GetCostAndUsage,4517,45.17,True
2026-07-05,CostDataStorage,11255,0.11,True
2026-07-05,GetCostAndUsage,4354,43.54,True
2026-07-05,GetCostAndUsageWithResources,2,0.02,True
2026-07-05,GetTags,2,0.02,True
2026-07-06,CostDataStorage,11001,0.11,True
2026-07-06,GetCostAndUsage,4336,43.36,True
2026-07-07,CostDataStorage,10768,0.11,True
2026-07-07,GetCostAndUsage,4320,43.2,True
2026-07-08,CostDataStorage,10612,0.11,True
2026-07-08,GetCostAndUsage,4702,47.02,True
2026-07-09,CostDataStorage,10459,0.1,True
2026-07-09,GetCostAndUsage,4623,46.23,True
2026-07-10,CostDataStorage,10288,0.1,True
2026-07-10,GetCostAndUsage,4627,46.27,True
2026-07-11,CostDataStorage,10142,0.1,True
2026-07-11,GetCostAndUsage,4440,44.4,True
2026-07-12,CostDataStorage,9913,0.1,True
2026-07-12,GetCostAndUsage,4560,45.6,True
2026-07-13,CostDataStorage,9769,0.1,True
2026-07-13,GetCostAndUsage,6609,66.09,True
2026-07-14,CostDataStorage,9684,0.1,True
2026-07-14,GetCostAndUsage,8535,85.35,True
