RUN_ID	SAMPLE_ID	EXPERIMENTID	SAMPLE_TYPE	LIB_PREP	SEQ_VENDOR	SEQ_PLATFORM	LANE	SEQBC_ID	PATH_TO_CONCORDANCE_DATA_DIR	ILMN_R1_FQ	ILMN_R2_FQ	ONT_R1_FQ	ONT_R2_FQ	ONT_FLOWCELL_ID	STAGE_DIRECTIVE	SUBSAMPLE_PCT	SAMPLEUSE	BWA_KMER	DEEP_MODEL	IS_POS_CTRL	IS_NEG_CTRL	TUM_NRM_SAMPLEID_MATCH	N_X	N_Y	EXTERNAL_SAMPLE_ID
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0000				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_0.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0001				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_1.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0002				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_10.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0003				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_11.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0004				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_12.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0005				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_13.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0006				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_14.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0007				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_15.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0008				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_16.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
ONT_4Coriells_chip1	NA00232	SMN	gdna	PF	ONT	PROMETHION	chip1	barcode18_chip1_0009				/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_17.fastq.gz		chip1	pass_through	na	sample	19	ONT_R104	false	false	na	1	1	NA00232
