time_start,time_end,estimated,amount_usd,tag_lsmc_project,tag_lsmc_project_value
2026-03-16,2026-04-01,False,2831.4357391244,lsmc-project$,
2026-04-01,2026-05-01,False,9334.5476065665,lsmc-project$,
2026-05-01,2026-06-01,False,23580.8228349056,lsmc-project$,
2026-05-01,2026-06-01,False,47.5771348432,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-05-01,2026-06-01,False,295.8471727951,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-05-01,2026-06-01,False,5.6473625108,lsmc-project$dayhoff-ddev80,dayhoff-ddev80
2026-05-01,2026-06-01,False,5.7077216395,lsmc-project$dayhoff-ddev81,dayhoff-ddev81
2026-05-01,2026-06-01,False,1.2935921651,lsmc-project$dayhoff-ddev89,dayhoff-ddev89
2026-05-01,2026-06-01,False,0.8056653264,lsmc-project$dayhoff-ddev92,dayhoff-ddev92
2026-05-01,2026-06-01,False,0.301682438,lsmc-project$dayhoff-ddev94,dayhoff-ddev94
2026-05-01,2026-06-01,False,2.8615328057,lsmc-project$dayhoff-ddev96,dayhoff-ddev96
2026-05-01,2026-06-01,False,8.4263970601,lsmc-project$dayhoff-inf10,dayhoff-inf10
2026-05-01,2026-06-01,False,6.6885430178,lsmc-project$dayhoff-inf11,dayhoff-inf11
2026-05-01,2026-06-01,False,8.839640382,lsmc-project$dayhoff-inf9,dayhoff-inf9
2026-05-01,2026-06-01,False,28.4951356561,lsmc-project$tapdb-us-east-1,tapdb-us-east-1
2026-05-01,2026-06-01,False,28.4839084434,lsmc-project$tapdb-us-west-2,tapdb-us-west-2
2026-05-01,2026-06-01,False,4.4173938768,lsmc-project$ultima-wgs,ultima-wgs
2026-05-01,2026-06-01,False,0.0058125044,lsmc-project$zebra-day+us-west-2,zebra-day+us-west-2
2026-06-01,2026-06-14,True,10263.7654663672,lsmc-project$,
2026-06-01,2026-06-14,True,58.7474430661,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-06-01,2026-06-14,True,1099.3462005191,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-06-01,2026-06-14,True,91.2993396604,lsmc-project$dayhoff-day,dayhoff-day
2026-06-01,2026-06-14,True,103.7000875684,lsmc-project$dayhoff-ddev96,dayhoff-ddev96
2026-06-01,2026-06-14,True,85.9710569579,lsmc-project$dayhoff-dev,dayhoff-dev
2026-06-01,2026-06-14,True,81.9684911982,lsmc-project$dayhoff-inf,dayhoff-inf
2026-06-01,2026-06-14,True,3.2255986523,lsmc-project$dayhoff-jemdev,dayhoff-jemdev
2026-06-01,2026-06-14,True,18.2891179943,lsmc-project$dayhoff-jemdev2,dayhoff-jemdev2
2026-06-01,2026-06-14,True,17.346609655,lsmc-project$dayhoff-jemdev3,dayhoff-jemdev3
2026-06-01,2026-06-14,True,38.422378726,lsmc-project$dayhoff-jemdev5,dayhoff-jemdev5
2026-06-01,2026-06-14,True,55.2724228468,lsmc-project$dayhoff-joshdev,dayhoff-joshdev
2026-06-01,2026-06-14,True,1.3391930638,lsmc-project$dayhoff-tailnet-dns,dayhoff-tailnet-dns
2026-06-01,2026-06-14,True,106.6581209791,lsmc-project$tapdb-us-east-1,tapdb-us-east-1
2026-06-01,2026-06-14,True,105.8278585172,lsmc-project$tapdb-us-west-2,tapdb-us-west-2
2026-06-01,2026-06-14,True,20.1740726265,lsmc-project$ultima-wgs,ultima-wgs
2026-06-01,2026-06-14,True,0.0746150783,lsmc-project$zebra-day+us-west-2,zebra-day+us-west-2
