time_start,time_end,estimated,amount_usd,tag_aws_parallelcluster_username,tag_aws_parallelcluster_username_value
2026-03-16,2026-04-01,False,1506.0707290505,aws-parallelcluster-username$,
2026-03-16,2026-04-01,False,774.3111365267,aws-parallelcluster-username$jmajor-daylily-service,jmajor-daylily-service
2026-03-16,2026-04-01,False,235.7951401264,aws-parallelcluster-username$jmajor-root,jmajor-root
2026-03-16,2026-04-01,False,315.2587334208,aws-parallelcluster-username$ubuntu,ubuntu
2026-04-01,2026-05-01,False,3976.5183263002,aws-parallelcluster-username$,
2026-04-01,2026-05-01,False,3588.08791143,aws-parallelcluster-username$jmajor-daylily-service,jmajor-daylily-service
2026-04-01,2026-05-01,False,627.2968444855,aws-parallelcluster-username$jmajor-root,jmajor-root
2026-04-01,2026-05-01,False,773.9090373862,aws-parallelcluster-username$michael.kennemer-mike-tmp,michael.kennemer-mike-tmp
2026-04-01,2026-05-01,False,368.7354869646,aws-parallelcluster-username$ubuntu,ubuntu
2026-05-01,2026-06-01,False,10307.4933251261,aws-parallelcluster-username$,
2026-05-01,2026-06-01,False,1772.5305298456,aws-parallelcluster-username$jmajor-daylily-service,jmajor-daylily-service
2026-05-01,2026-06-01,False,3476.2764567949,aws-parallelcluster-username$jmajor-root,jmajor-root
2026-05-01,2026-06-01,False,49.3480233163,aws-parallelcluster-username$michael.kennemer-michael.kennemer@lsmc.com,michael.kennemer-michael.kennemer@lsmc.com
2026-05-01,2026-06-01,False,1915.9958353459,aws-parallelcluster-username$michael.kennemer-mike-tmp,michael.kennemer-mike-tmp
2026-05-01,2026-06-01,False,6504.5773599412,aws-parallelcluster-username$ubuntu,ubuntu
2026-06-01,2026-06-14,True,7658.1595079863,aws-parallelcluster-username$,
2026-06-01,2026-06-14,True,29.1893333472,aws-parallelcluster-username$jmajor-daylily-service,jmajor-daylily-service
2026-06-01,2026-06-14,True,1757.3534853087,aws-parallelcluster-username$jmajor-root,jmajor-root
2026-06-01,2026-06-14,True,316.4492585317,aws-parallelcluster-username$michael.kennemer-michael.kennemer@lsmc.com,michael.kennemer-michael.kennemer@lsmc.com
2026-06-01,2026-06-14,True,2390.2764883027,aws-parallelcluster-username$ubuntu,ubuntu
