service,kind,region,id,arn,name,classification,tags,state,size,type,engine,has_lifecycle
EC2,eip,ap-south-1,eipalloc-0dc16bbf830c83d81,,,unallocated,aws:cloudformation:logical-id=NatGatewayEIP aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1c/f2fd90b0-072e-11f1-9298-02a68a59f20b aws:cloudformation:stack-name=pcluster-vpc-stack-1c,,,,,
EC2,eip,ap-south-1,eipalloc-033c9e0da1444ac1b,,,unallocated,aws:cloudformation:logical-id=NatGatewayEIP aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1a/769891e0-fcc2-11ef-9a8e-0ad1d3b859f3 aws:cloudformation:stack-name=pcluster-vpc-stack-1a,,,,,
VPC,nat_gateway,ap-south-1,nat-05f85018216cac061,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-05f85018216cac061,,unallocated,aws:cloudformation:logical-id=NatGateway aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1c/f2fd90b0-072e-11f1-9298-02a68a59f20b aws:cloudformation:stack-name=pcluster-vpc-stack-1c,available,,,,
VPC,nat_gateway,ap-south-1,nat-01dc061291fc51e75,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-01dc061291fc51e75,,unallocated,aws:cloudformation:logical-id=NatGateway aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1a/769891e0-fcc2-11ef-9a8e-0ad1d3b859f3 aws:cloudformation:stack-name=pcluster-vpc-stack-1a,available,,,,
EC2,eip,eu-central-1,eipalloc-064b4a732e3617a01,,,unallocated,aws:cloudformation:logical-id=NatGatewayEIP aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1a/5c28aa80-0009-11f0-b2da-023a831da7a7 aws:cloudformation:stack-name=pcluster-vpc-stack-1a,,,,,
EC2,eip,eu-central-1,eipalloc-0a47cd6baa930d38f,,,unallocated,aws:cloudformation:logical-id=NatGatewayEIP aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1c/6ecb58d0-fcc2-11ef-9f3b-02eaee40b12f aws:cloudformation:stack-name=pcluster-vpc-stack-1c,,,,,
VPC,nat_gateway,eu-central-1,nat-0ec6ae9605269bef4,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0ec6ae9605269bef4,,unallocated,aws:cloudformation:logical-id=NatGateway aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1a/5c28aa80-0009-11f0-b2da-023a831da7a7 aws:cloudformation:stack-name=pcluster-vpc-stack-1a,available,,,,
VPC,nat_gateway,eu-central-1,nat-0a2bfbfedf38f8e87,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0a2bfbfedf38f8e87,,unallocated,aws:cloudformation:logical-id=NatGateway aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1c/6ecb58d0-fcc2-11ef-9f3b-02eaee40b12f aws:cloudformation:stack-name=pcluster-vpc-stack-1c,available,,,,
EC2,ec2_instance,us-west-2,i-02a5b297000e82966,arn:aws:ec2:us-west-2:108782052779:instance/i-02a5b297000e82966,lsmc-web,unallocated,Name=lsmc-web,stopped,,m7i-flex.2xlarge,,
EC2,ec2_instance,us-west-2,i-09126000eb19643b0,arn:aws:ec2:us-west-2:108782052779:instance/i-09126000eb19643b0,Dayhoff-aws3041-Compute/Hostprimary,dyec_cluster,"CostCenter=platform Environment=aws3041 Host=primary Name=Dayhoff-aws3041-Compute/Hostprimary Owner=platform Project=LSMC Roles=atlas,bloom,ursa,dewey,zebra_day,kahlo System=dayhoff aws-parallelcluster-project=dayhoff-production-server aws:cloudformation:logical-id=Hostprimary8A9E85D2 aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-aws3041-Compute/4b8ad200-4d99-11f1-89af-02d0bd94fd23 aws:cloudformation:stack-name=Dayhoff-aws3041-Compute dayhoff-lock=false dayhoff-user=jmajor lsmc-cost-center=platform lsmc-project=dayhoff+us-west-2 project=dayhoff-all project:dayhoff-day=true",running,,t3a.2xlarge,,
EC2,ec2_instance,us-west-2,i-09f66b3f11ea42c60,arn:aws:ec2:us-west-2:108782052779:instance/i-09f66b3f11ea42c60,labplatform-mvp,unallocated,Name=labplatform-mvp,running,,t3.small,,
EC2,ec2_instance,us-west-2,i-0cc9dcb0db2f9d205,arn:aws:ec2:us-west-2:108782052779:instance/i-0cc9dcb0db2f9d205,terrarium-prod-tailscale-router,terrarium,Environment=prod Name=terrarium-prod-tailscale-router Project=terrarium,running,,t3.micro,,
