time_start,time_end,estimated,amount_usd,service,tag_parallelcluster_cluster_name,tag_parallelcluster_cluster_name_value
2026-03-16,2026-04-01,False,0.0,AWS CloudFormation,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,0.3705480431,AWS Cost Explorer,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,0.0,AWS Glue,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,1.548387072,AWS Key Management Service,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,1.63e-07,AWS Lambda,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,0.0,AWS Lambda,parallelcluster:cluster-name$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,0.0,AWS Lambda,parallelcluster:cluster-name$ifx-go,ifx-go
2026-03-16,2026-04-01,False,0.0,AWS Lambda,parallelcluster:cluster-name$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,3.0051807267,AWS Secrets Manager,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,98.2604380874,AWS Security Hub,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,0.0,AWS Service Catalog,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,1.62e-07,AWS Step Functions,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,10.866514104,AWS WAF,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,0.0,AWS X-Ray,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,3.50307e-05,Amazon CloudFront,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,0.0,Amazon Cognito,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,4.84732e-05,Amazon DynamoDB,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,0.0033601875,Amazon DynamoDB,parallelcluster:cluster-name$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,0.0005545625,Amazon DynamoDB,parallelcluster:cluster-name$ifx-go,ifx-go
2026-03-16,2026-04-01,False,0.002778875,Amazon DynamoDB,parallelcluster:cluster-name$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,0.1777561881,Amazon EC2 Container Registry (ECR),parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,343.0049436888,EC2 - Other,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,17.3832258048,EC2 - Other,parallelcluster:cluster-name$day-test-uswest2d,day-test-uswest2d
2026-03-16,2026-04-01,False,17.4605694589,EC2 - Other,parallelcluster:cluster-name$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,9.7374197321,EC2 - Other,parallelcluster:cluster-name$ifx-go,ifx-go
2026-03-16,2026-04-01,False,8.3765599433,EC2 - Other,parallelcluster:cluster-name$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,192.2870606995,Amazon Elastic Compute Cloud - Compute,parallelcluster:cluster-name$,
2026-03-16,2026-04-01,False,67.7767003621,Amazon Elastic Compute Cloud - Compute,parallelcluster:cluster-name$daylily-1773059211,daylily-1773059211
