time_start,time_end,estimated,amount_usd,service,operation
2026-03-16,2026-04-01,False,0.0,AWS CloudFormation,ProcessResourceHandlers
2026-03-16,2026-04-01,False,0.3705480431,AWS Cost Explorer,CostDataStorage
2026-03-16,2026-04-01,False,0.0,AWS Glue,Request
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,CreateGrant
2026-03-16,2026-04-01,False,1.548387072,AWS Key Management Service,CurrentKeys
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,Decrypt
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,DescribeKey
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,GenerateDataKey
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,GetKeyPolicy
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,GetKeyRotationStatus
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,ListAliases
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,ListGrants
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,ListKeys
2026-03-16,2026-04-01,False,0.0,AWS Key Management Service,ListResourceTags
2026-03-16,2026-04-01,False,1.63e-07,AWS Lambda,Invoke
2026-03-16,2026-04-01,False,2.5e-05,AWS Secrets Manager,CreateSecret
2026-03-16,2026-04-01,False,4.5e-05,AWS Secrets Manager,DeleteSecret
2026-03-16,2026-04-01,False,0.000185,AWS Secrets Manager,DescribeSecret
2026-03-16,2026-04-01,False,2e-05,AWS Secrets Manager,GetRandomPassword
2026-03-16,2026-04-01,False,0.000125,AWS Secrets Manager,GetResourcePolicy
2026-03-16,2026-04-01,False,0.03849,AWS Secrets Manager,GetSecretValue
2026-03-16,2026-04-01,False,8e-05,AWS Secrets Manager,ListSecretVersionIds
2026-03-16,2026-04-01,False,0.002745,AWS Secrets Manager,ListSecrets
2026-03-16,2026-04-01,False,3e-05,AWS Secrets Manager,PutSecretValue
2026-03-16,2026-04-01,False,2.9634357267,AWS Secrets Manager,SecretUsage
