time_start,time_end,estimated,amount_usd,operation
2026-03-16,2026-04-01,False,0.0387116,A
2026-03-16,2026-04-01,False,0.015044,AAAA
2026-03-16,2026-04-01,False,0.0278046,ALB
2026-03-16,2026-04-01,False,0.0001,ANY
2026-03-16,2026-04-01,False,0.007425025,AllocateAddressVPC
2026-03-16,2026-04-01,False,32.94245138,AssociateAddressVPC
2026-03-16,2026-04-01,False,0.0003556,CAA
2026-03-16,2026-04-01,False,0.0009768,CNAME
2026-03-16,2026-04-01,False,0.0,CognitoEssentialsOperation
2026-03-16,2026-04-01,False,0.000615,CompleteMultipartUpload
2026-03-16,2026-04-01,False,0.3705480431,CostDataStorage
2026-03-16,2026-04-01,False,64.6411504077,CreateDBInstance:0014
2026-03-16,2026-04-01,False,146.7684505621,CreateDBInstance:0021
2026-03-16,2026-04-01,False,793.0163059125,CreateFileSystem:Lustre
2026-03-16,2026-04-01,False,0.0,CreateGrant
2026-03-16,2026-04-01,False,2.5e-05,CreateSecret
2026-03-16,2026-04-01,False,1.5116487565,CreateSnapshot
2026-03-16,2026-04-01,False,202.059112996,CreateVolume-Gp3
2026-03-16,2026-04-01,False,1.548387072,CurrentKeys
2026-03-16,2026-04-01,False,2.4e-05,DNAME
2026-03-16,2026-04-01,False,0.0060564,DNSKEY
2026-03-16,2026-04-01,False,0.0,DashboardHour
2026-03-16,2026-04-01,False,0.0,Decrypt
2026-03-16,2026-04-01,False,0.0,DeleteDashboards
2026-03-16,2026-04-01,False,0.0,DeleteQueue
2026-03-16,2026-04-01,False,4.5e-05,DeleteSecret
2026-03-16,2026-04-01,False,0.0,DescribeKey
2026-03-16,2026-04-01,False,0.000185,DescribeSecret
2026-03-16,2026-04-01,False,9.4912876413,FargateTask
2026-03-16,2026-04-01,False,0.0,GET
2026-03-16,2026-04-01,False,0.0,GeneralPurposeBuckets
2026-03-16,2026-04-01,False,0.0,GenerateDataKey
2026-03-16,2026-04-01,False,0.0,GetDashboard
2026-03-16,2026-04-01,False,0.0,GetDataProtectionPolicy
2026-03-16,2026-04-01,False,0.0,GetKeyPolicy
2026-03-16,2026-04-01,False,0.0,GetKeyRotationStatus
2026-03-16,2026-04-01,False,6.4e-06,GetLensConfiguration
2026-03-16,2026-04-01,False,6.4e-06,GetLensConfigurationTagging
2026-03-16,2026-04-01,False,3.7514678036,GetObject
2026-03-16,2026-04-01,False,0.0,GetQueueAttributes
2026-03-16,2026-04-01,False,2e-05,GetRandomPassword
2026-03-16,2026-04-01,False,0.000125,GetResourcePolicy
2026-03-16,2026-04-01,False,0.0,GetSMSSandboxAccountStatus
2026-03-16,2026-04-01,False,0.03849,GetSecretValue
2026-03-16,2026-04-01,False,0.0,GetTopicAttributes
2026-03-16,2026-04-01,False,6.87694828,GuardDuty-CloudTrailEvents
2026-03-16,2026-04-01,False,0.0019909009,GuardDuty-LambdaNetworkLogs
2026-03-16,2026-04-01,False,0.0409365,GuardDuty-S3DataEvents
2026-03-16,2026-04-01,False,0.1172879065,GuardDuty-VPCFlowLogsDNSLogs
2026-03-16,2026-04-01,False,1.6e-06,HINFO
2026-03-16,2026-04-01,False,0.000586,HTTPS
2026-03-16,2026-04-01,False,0.00257032,HeadBucket
2026-03-16,2026-04-01,False,0.0876052325,HeadObject
2026-03-16,2026-04-01,False,2.0,HostedZone
2026-03-16,2026-04-01,False,0.0,Hourly
2026-03-16,2026-04-01,False,0.0,HourlyStorageMetering
2026-03-16,2026-04-01,False,0.00062,InitiateMultipartUpload
2026-03-16,2026-04-01,False,0.0022505677,InterZone-In
2026-03-16,2026-04-01,False,0.0082265397,InterZone-Out
2026-03-16,2026-04-01,False,0.0,Invalidations
2026-03-16,2026-04-01,False,0.0,Invocation
2026-03-16,2026-04-01,False,1.63e-07,Invoke
2026-03-16,2026-04-01,False,0.0,List
2026-03-16,2026-04-01,False,0.01008,ListAGGrants
2026-03-16,2026-04-01,False,0.01008,ListAGLocations
2026-03-16,2026-04-01,False,0.01008,ListAGs
2026-03-16,2026-04-01,False,2.171e-07,ListAccessPoints
2026-03-16,2026-04-01,False,0.0,ListAliases
2026-03-16,2026-04-01,False,0.0026307955,ListAllMyBuckets
2026-03-16,2026-04-01,False,0.0011404,ListAllMyDirectoryBuckets
2026-03-16,2026-04-01,False,0.02701,ListBucket
2026-03-16,2026-04-01,False,1e-05,ListBucketVersions
2026-03-16,2026-04-01,False,0.0,ListGrants
2026-03-16,2026-04-01,False,0.0,ListKeys
2026-03-16,2026-04-01,False,0.0013100027,ListLensConfigurations
2026-03-16,2026-04-01,False,0.000165,ListMRAPs
2026-03-16,2026-04-01,False,0.0,ListQueueTags
2026-03-16,2026-04-01,False,0.0,ListResourceTags
2026-03-16,2026-04-01,False,8e-05,ListSecretVersionIds
2026-03-16,2026-04-01,False,0.002745,ListSecrets
2026-03-16,2026-04-01,False,0.0013053744,ListStorageLensGroups
2026-03-16,2026-04-01,False,0.0,ListSubscriptions
2026-03-16,2026-04-01,False,0.0,ListSubscriptionsByTopic
2026-03-16,2026-04-01,False,0.0035008,ListTableBuckets
