lane	output_class	shard	path	bytes	gib	undetermined
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL1-a_S22_L002_R1_001.fastq.gz	709046508	0.660351019	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL1-a_S22_L002_R2_001.fastq.gz	718810259	0.669444221	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL1-b_S23_L002_R1_001.fastq.gz	704374973	0.656000313	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL1-b_S23_L002_R2_001.fastq.gz	713647174	0.664635723	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL2-a_S24_L002_R1_001.fastq.gz	782436005	0.728700315	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL2-a_S24_L002_R2_001.fastq.gz	783831736	0.730000190	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL2-b_S25_L002_R1_001.fastq.gz	752625566	0.700937180	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL2-b_S25_L002_R2_001.fastq.gz	767521695	0.714810281	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL3-a_S26_L002_R1_001.fastq.gz	791030870	0.736704906	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL3-a_S26_L002_R2_001.fastq.gz	798947112	0.744077481	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL3-b_S27_L002_R1_001.fastq.gz	779455787	0.725924770	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL3-b_S27_L002_R2_001.fastq.gz	789968818	0.735715793	false
L002	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L002/0001_tiles0001-0098/BUCCAL4-a_S28_L002_R1_001.fastq.gz	712664330	0.663720379	false
