ANALYSIS_UNIT_UID	SEQUENCING_INPUT_UID	ROLE	INPUT_ORDINAL
140975029	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
140975029	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
140975029	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
140975029	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
173489894	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
173489894	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
173489894	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
173489894	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
334438742	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
334438742	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
334438742	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
334438742	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
375111773	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
375111773	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
375111773	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
375111773	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
635656666	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
635656666	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
635656666	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
635656666	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
673958549	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
673958549	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
673958549	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
673958549	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
702620916	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
702620916	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
702620916	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
702620916	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
