display_au	runtime_analysis_unit_uid	state	slurm_job_id	elapsed_seconds	elapsed_hms	start_utc	end_utc
ILMN-CASE16-M	CASE16-M-pvpjsb10r2nr0r	COMPLETED	476	8069	02:14:29	2026-08-24T07:39:32	2026-08-24T09:54:01
ILMN-CASE17	CASE17-f1d2tcphbav8y5	COMPLETED	618	4535	01:15:35	2026-08-24T07:44:43	2026-08-24T09:00:18
ILMN-CASE2-P-c	CASE2-P-cc0yhpat7j34d4	COMPLETED	656	6261	01:44:21	2026-08-24T07:46:38	2026-08-24T09:30:59
ILMN-CASE12-P	CASE12-P-zqxx8bcdj503z4	COMPLETED	715	5464	01:31:04	2026-08-24T07:48:45	2026-08-24T09:19:49
ILMN-CASE13-P	CASE13-P-ztgcenrafaks0b	COMPLETED	740	5874	01:37:54	2026-08-24T07:53:03	2026-08-24T09:30:57
ILMN-CASE14-P	CASE14-P-ssn5kdyqxd3yx2	COMPLETED	767	7089	01:58:09	2026-08-24T07:50:38	2026-08-24T09:48:47
ILMN-CASE7-P	CASE7-P-9fnp4ga78w7wtd	COMPLETED	798	6382	01:46:22	2026-08-24T07:51:43	2026-08-24T09:38:05
ILMN-CASE11-P	CASE11-P-aycjnkav6wac3c	COMPLETED	818	6790	01:53:10	2026-08-24T07:52:27	2026-08-24T09:45:37
ILMN-CASE9-P	CASE9-P-3chmntjfgqhs34	COMPLETED	822	5485	01:31:25	2026-08-24T07:56:33	2026-08-24T09:27:58
ILMN-CASE14-M	CASE14-M-bfbfbw1w4qn5hj	COMPLETED	823	4816	01:20:16	2026-08-24T07:56:33	2026-08-24T09:16:49
ILMN-CASE14-F	CASE14-F-08eb1y7ap5t2bz	COMPLETED	883	5456	01:30:56	2026-08-24T07:58:03	2026-08-24T09:28:59
ILMN-CASE11-M	CASE11-M-1k42tk60e8hx0r	COMPLETED	887	5870	01:37:50	2026-08-24T07:58:33	2026-08-24T09:36:23
ILMN-CASE15-P	CASE15-P-k2f1ea2wwqyay8	COMPLETED	914	5676	01:34:36	2026-08-24T08:01:03	2026-08-24T09:35:39
BUCCAL2-b	BUCCAL2-ykhg3rmacynq62	COMPLETED	941	5792	01:36:32	2026-08-24T07:58:32	2026-08-24T09:35:04
ILMN-CASE8-P	CASE8-P-9d7ewk8cjvc011	COMPLETED	942	5569	01:32:49	2026-08-24T07:58:35	2026-08-24T09:31:24
ILMN-CASE16-P	CASE16-P-22nw4bwm9fhf3h	COMPLETED	990	6769	01:52:49	2026-08-24T08:00:21	2026-08-24T09:53:10
BUCCAL10	BUCCAL10-zmxrxmmgv2nzs7	COMPLETED	992	4683	01:18:03	2026-08-24T08:04:03	2026-08-24T09:22:06
ILMN-CASE1-F-a	CASE1-F-v36b748bjs4ge9	COMPLETED	1030	4328	01:12:08	2026-08-24T08:02:06	2026-08-24T09:14:14
BUCCAL1-b	BUCCAL1-cs550zzb54046g	COMPLETED	1053	5898	01:38:18	2026-08-24T08:03:05	2026-08-24T09:41:23
ILMN-CASE13-F	CASE13-F-6eymrvm8g093xp	COMPLETED	1056	5143	01:25:43	2026-08-24T08:06:33	2026-08-24T09:32:16
ILMN-CASE9-M	CASE9-M-665f6n08gx63e1	COMPLETED	1083	5967	01:39:27	2026-08-24T08:04:09	2026-08-24T09:43:36
ILMN-CASE18	CASE18-r5x6cqknvtpq25	COMPLETED	1261	4260	01:11:00	2026-08-24T08:10:48	2026-08-24T09:21:48
ILMN-CASE12-M	CASE12-M-rfbf6r14f4bt2t	COMPLETED	1358	5212	01:26:52	2026-08-24T08:15:59	2026-08-24T09:42:51
BUCCAL3-b	BUCCAL3-q5vxnnc1adv0wm	RUNNING	1286	4563	01:16:03	2026-08-24T08:49:04	
ILMN-CASE5-P	CASE5-P-y2wjwxq561hydb	RUNNING	1232	6663	01:51:03	2026-08-24T08:14:04	
ILMN-CASE2-P-b	CASE2-P-kbsyn18esya2wp	RUNNING	1194	6783	01:53:03	2026-08-24T08:12:04	
ILMN-CASE13-M	CASE13-M-zs51eec1k9wq9x	RUNNING	1198	6783	01:53:03	2026-08-24T08:12:04	
ILMN-CASE10-F	CASE10-F-bqnw1gvbj2xafr	RUNNING	1268	6848	01:54:08	2026-08-24T08:10:59	
ILMN-CASE10-P	CASE10-P-6kgec106s58wrp	RUNNING	1143	6874	01:54:34	2026-08-24T08:10:33	
ILMN-CASE19-P	CASE19-P-ca146f2dmp7ezp	RUNNING	1158	6874	01:54:34	2026-08-24T08:10:33	
ILMN-CASE2-P-a	CASE2-P-3cqp5nkm8gsy1e	RUNNING	1103	6964	01:56:04	2026-08-24T08:09:03	
ILMN-CASE1-P-a	CASE1-P-26c2b48xgyckzj	RUNNING	1108	6964	01:56:04	2026-08-24T08:09:03	
ILMN-CASE10-M	CASE10-M-66gk205q8k03x0	RUNNING	1508	1813	00:30:13	2026-08-24T09:34:54	
ILMN-CASE5-F	CASE5-F-g5n7t0xds4hh9k	RUNNING	1468	2088	00:34:48	2026-08-24T09:30:19	
ILMN-CASE19-M	CASE19-M-1kjc1w9bz5c2zs	RUNNING	824	2098	00:34:58	2026-08-24T09:30:09	
ILMN-CASE6-P	CASE6-P-99kkh6v67wkyvp	RUNNING	970	2098	00:34:58	2026-08-24T09:30:09	
ILMN-CASE7-F	CASE7-F-ac5prpd5an1g3x	RUNNING	1101	3033	00:50:33	2026-08-24T09:14:34	
ILMN-CASE1-M-a	CASE1-M-93pjsz1jmt4gkt	RUNNING	1573	5629	01:33:49	2026-08-24T08:31:18	
ILMN-CASE5-M	CASE5-M-45a79np6t5vtkw	RUNNING	1432	6084	01:41:24	2026-08-24T08:23:43	
ILMN-CASE7-M	CASE7-M-wb9ztse8nxyrg2	RUNNING	845	7893	02:11:33	2026-08-24T07:53:34	
