command_evidence.txt	2557
config/day_profiles/slurm/rule_config.yaml	54457
config/input_manifest.tsv	2696
config/patch_smn12_runtime.py	2097
logs/dryrun_smn12_4na_chip4sub_20260612T015845Z.log	1593900
logs/live_smn12_4na_chip4sub_rerun_20260612T0443Z.log	338609
package_manifest.tsv	0
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na.hapsma.summary.tsv	861
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/sma_finder/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na.sma_finder.summary.tsv	330
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/smaca/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na.smaca.summary.tsv	1576
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/smn12/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na.smn12.summary.tsv	315
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/segdup/sentdhiomr/results/SMN1/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.SMN1.yaml	1883
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na.hapsma.summary.tsv	841
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/sma_finder/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na.sma_finder.summary.tsv	372
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/smaca/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na.smaca.summary.tsv	1618
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/smn12/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na.smn12.summary.tsv	336
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/segdup/sentdhiomr/results/SMN1/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ.SMN1.yaml	2052
