template_group,templates,instance_type,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f,us-east-2a,us-east-2b,us-east-2c,us-west-1a,us-west-1b,us-west-2a,us-west-2b,us-west-2c,us-west-2d,ap-south-1a,ap-south-1b,ap-south-1c,eu-central-1a,eu-central-1b,eu-central-1c
intel,intel,c6i.32xlarge,1.760600,1.864800,1.707400,1.805600,,1.746500,1.487400,1.487700,1.601100,2.564100,2.720500,1.848500,1.833300,1.744200,1.577100,1.305300,1.296000,1.353400,2.427200,2.589100,2.542900
intel,intel,c6i.metal,1.720700,1.383300,1.637500,1.812200,,1.470200,1.845800,1.524700,1.435300,1.328300,2.107200,1.559900,1.601900,1.581400,1.425000,0.912300,1.054800,1.281300,1.529400,1.366800,1.790500
intel,intel,c6in.32xlarge,1.903200,2.112100,1.745300,1.708300,,1.489600,1.659300,1.827500,1.679900,1.748600,1.901000,2.402900,2.065500,2.549100,,1.468700,1.340700,1.732300,2.881900,1.951000,3.212500
intel,intel,c6in.metal,1.785800,1.773200,1.293200,1.730900,,1.891200,1.804300,1.878200,2.332000,1.946700,1.741600,2.002400,2.074000,1.592600,,1.417600,0.765400,1.522500,0.826600,2.046700,0.826600
intel,intel,c7i.48xlarge,2.918500,2.811600,2.902700,3.302100,,3.078900,3.432200,3.426600,3.689100,1.966600,1.942700,3.819900,3.814700,4.028800,3.079300,2.695900,3.292400,2.982600,2.909500,3.017900,2.425000
intel,intel,c7i.metal-48xl,2.586200,2.784100,2.471800,2.459200,,2.289400,1.546000,2.304500,1.930600,1.989200,1.068500,2.788200,2.751900,2.695000,2.341100,2.419500,2.251800,1.320800,3.030900,2.699800,3.179200
intel,intel,c8i.32xlarge,2.345800,2.227400,2.132600,2.738600,,5.935800,2.557700,2.004200,2.574600,1.555200,1.585900,2.724600,2.472000,1.984100,1.767600,1.706100,1.132200,1.144100,1.989200,1.602200,1.447900
intel,intel,c8i.48xlarge,2.816000,2.801800,2.483700,2.577000,,8.996200,3.091000,2.489500,3.593900,3.071100,2.020500,2.886100,3.123400,3.271300,2.849000,1.523100,1.343700,1.525000,3.177700,2.069700,2.784600
intel,intel,c8i.metal-48xl,1.260400,3.458500,0.899600,2.247800,,8.903600,1.956900,1.186000,1.861500,1.937600,1.938600,3.035400,3.093300,3.032000,2.588700,1.943500,8.996200,3.145500,10.266200,1.026600,10.266200
intel,intel,c8id.96xlarge,17.986400,2.401900,5.699600,2.128900,,10.856800,8.350000,4.622100,7.790300,,,5.900100,6.004400,6.184000,6.212600,,,,9.995200,6.377800,4.280400
intel,intel,c8id.metal-96xl,8.064300,2.128900,4.312200,2.960900,,4.885000,6.126600,5.514900,2.128900,,,5.365500,6.587100,5.135800,6.157800,,,,6.512100,5.612100,4.639600
dragen,dragen_native_ami_rhel8;dragen_native_ami_rhel8_nofsx;dragen_pcluster_image_rhel8;dragen_pcluster_image_rhel8_nofsx,f2.6xlarge,0.673500,0.672100,0.647200,0.675500,,,,,,,,,0.680000,0.798900,,,,,,0.914700,0.782900
intel,intel,i4i.2xlarge,0.289000,0.298300,0.316700,0.297600,,0.266700,0.205000,0.197700,0.180500,0.176200,0.247300,0.274200,0.310300,0.296800,0.280600,0.338100,0.339300,0.349000,0.288600,0.289200,0.281700
intel,intel,i4i.32xlarge,3.684400,3.730700,3.390000,3.007000,,3.159300,2.520600,2.455000,2.448200,5.695000,2.580800,3.637700,3.662900,4.526400,2.473700,1.769000,1.655500,1.814400,2.490200,1.976100,2.856100
intel,intel,i4i.metal,4.377200,3.357600,3.069900,2.846200,,3.447200,1.403300,1.705500,1.537100,1.210900,1.210900,1.719400,3.228100,3.362300,3.301700,3.537700,1.474200,2.195700,4.064600,3.413300,4.285500
intel,intel,i7i.2xlarge,0.267200,0.269000,0.232600,0.311200,,0.231300,0.391900,0.391000,0.234800,0.272000,0.280200,0.269500,0.326600,0.225200,0.136500,0.164600,0.174100,0.156000,0.303300,0.301400,0.293100
