na	unit	barcode	caller	file_name	is_index	size_bytes	relative_path	s3_uri
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.filtered.vcf.gz	no	28414	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.filtered.vcf.gz	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.filtered.vcf.gz
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.filtered.vcf.gz.tbi	yes	77	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.filtered.vcf.gz.tbi	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.filtered.vcf.gz.tbi
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.vcf.gz	no	28169	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.vcf.gz	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.vcf.gz
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.vcf.gz.tbi	yes	77	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.vcf.gz.tbi	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.indel.vcf.gz.tbi
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.filtered.vcf.gz	no	28485	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.filtered.vcf.gz	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.filtered.vcf.gz
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.filtered.vcf.gz.tbi	yes	77	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.filtered.vcf.gz.tbi	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.filtered.vcf.gz.tbi
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.vcf.gz	no	28170	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.vcf.gz	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.vcf.gz
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.vcf.gz.tbi	yes	77	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.vcf.gz.tbi	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.snp.vcf.gz.tbi
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.vcf.gz	no	27863	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.vcf.gz	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.vcf.gz
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.vcf.gz.tbi	yes	72	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.vcf.gz.tbi	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.filter.vcf.gz.tbi
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz	no	26569	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz.tbi	yes	72	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz.tbi	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz.tbi
NA00232	chip1-chip2	barcode18	HapSMA	HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.snv.vcf	no	314320	results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.snv.vcf	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/hiomr_smn12_4na_chip4sub_20260612T015845Z/daylily-omics-analysis/results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.snv.vcf
