source_s3_uri	dest_s3_uri	source_key	dest_key	class	bytes	reason	manifest_refs
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_1x_R1.fastq.gz	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_1x_R1.fastq.gz	genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_1x_R1.fastq.gz	genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_1x_R1.fastq.gz	fastq	800133968	demo_or_catalog_path	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/hybrid_ilmn_ont/analysis_samples_manifest.tsv;/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/ilmn_solo/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/hybrid-cli-ilmn-ont/HG003_1x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/hybrid-mod-ilmn-ont/HG003_1x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/ilmn-solo/HG003_1x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hipmr/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_1x_R2.fastq.gz	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_1x_R2.fastq.gz	genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_1x_R2.fastq.gz	genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_1x_R2.fastq.gz	fastq	824245475	demo_or_catalog_path	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/hybrid_ilmn_ont/analysis_samples_manifest.tsv;/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/ilmn_solo/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/hybrid-cli-ilmn-ont/HG003_1x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/hybrid-mod-ilmn-ont/HG003_1x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/ilmn-solo/HG003_1x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hipmr/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_3x_R1.fastq.gz	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_3x_R1.fastq.gz	genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_3x_R1.fastq.gz	genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_3x_R1.fastq.gz	fastq	2359441289	demo_or_catalog_path	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/ilmn_solo/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/hybrid-cli-ilmn-ont/HG003_3x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/hybrid-mod-ilmn-ont/HG003_3x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/ilmn-solo/HG003_3x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hipmr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/ilmn_ont/hg003/3x/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/ilmn_pb/hg003/3x/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/stress_tests/ilmn/hg003/3x/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_3x_R2.fastq.gz	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_3x_R2.fastq.gz	genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_3x_R2.fastq.gz	genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_3x_R2.fastq.gz	fastq	2431718768	demo_or_catalog_path	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/ilmn_solo/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/hybrid-cli-ilmn-ont/HG003_3x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/hybrid-mod-ilmn-ont/HG003_3x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/agbt_2026/1x_3x/ilmn-solo/HG003_3x.units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hipmr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/ilmn_ont/hg003/3x/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/ilmn_pb/hg003/3x/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/stress_tests/ilmn/hg003/3x/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_5x_R1.fastq.gz	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_5x_R1.fastq.gz	genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_5x_R1.fastq.gz	genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_5x_R1.fastq.gz	fastq	3902280885	demo_or_catalog_path	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/docs/plans/20260526T161602Z_splitdra_ref_inputs/batch1_configs/illumina_snv_alignstats/20260526T163421Z_eb704187_units.tsv;/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/docs/plans/20260526T161602Z_splitdra_ref_inputs/batch1_configs/illumina_vep_multiqc/20260526T163421Z_f3d6e600_units.tsv;/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/ilmn_solo/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hipmr/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_5x_R2.fastq.gz	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_5x_R2.fastq.gz	genomic_data/organism_reads/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_5x_R2.fastq.gz	genomic_data/organism_reads_slim/fastq/H_sapiens/giab/NovaSeqX_WHGS_TruSeqPF_HG002-007/downsampled/HG003_5x_R2.fastq.gz	fastq	4023184443	demo_or_catalog_path	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/docs/plans/20260526T161602Z_splitdra_ref_inputs/batch1_configs/illumina_snv_alignstats/20260526T163421Z_eb704187_units.tsv;/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/docs/plans/20260526T161602Z_splitdra_ref_inputs/batch1_configs/illumina_vep_multiqc/20260526T163421Z_f3d6e600_units.tsv;/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/ilmn_solo/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hipmr/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/agbt_2026/ont/HG003_1x.cleaned.cram	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/cram/H_sapiens/giab/agbt_2026/ont/HG003_1x.cleaned.cram	genomic_data/organism_reads/H_sapiens/giab/agbt_2026/ont/HG003_1x.cleaned.cram	genomic_data/organism_reads_slim/cram/H_sapiens/giab/agbt_2026/ont/HG003_1x.cleaned.cram	cram	1054902045	demo_or_catalog_path	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/hybrid_ilmn_ont/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/huomr/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/agbt_2026/ont/HG003_1x.cleaned.cram.crai	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/cram/H_sapiens/giab/agbt_2026/ont/HG003_1x.cleaned.cram.crai	genomic_data/organism_reads/H_sapiens/giab/agbt_2026/ont/HG003_1x.cleaned.cram.crai	genomic_data/organism_reads_slim/cram/H_sapiens/giab/agbt_2026/ont/HG003_1x.cleaned.cram.crai	cram	7917	cram_index_sidecar	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/hybrid_ilmn_ont/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/huomr/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/agbt_2026/ont/HG003_3x.cleaned.cram	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/cram/H_sapiens/giab/agbt_2026/ont/HG003_3x.cleaned.cram	genomic_data/organism_reads/H_sapiens/giab/agbt_2026/ont/HG003_3x.cleaned.cram	genomic_data/organism_reads_slim/cram/H_sapiens/giab/agbt_2026/ont/HG003_3x.cleaned.cram	cram	3157800957	demo_or_catalog_path	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/hybrid_ilmn_ont/analysis_samples_manifest.tsv;/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/ont_solo/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/huomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/ug_ont/hg003/3x/units.tsv
s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads/H_sapiens/giab/agbt_2026/ont/HG003_3x.cleaned.cram.crai	s3://lsmc-dayoa-control-data-usw2/genomic_data/organism_reads_slim/cram/H_sapiens/giab/agbt_2026/ont/HG003_3x.cleaned.cram.crai	genomic_data/organism_reads/H_sapiens/giab/agbt_2026/ont/HG003_3x.cleaned.cram.crai	genomic_data/organism_reads_slim/cram/H_sapiens/giab/agbt_2026/ont/HG003_3x.cleaned.cram.crai	cram	21478	cram_index_sidecar	/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/hybrid_ilmn_ont/analysis_samples_manifest.tsv;/Users/jmajor/.codex/worktrees/dyec-fsx-dra-mounts/daylily-ephemeral-cluster/examples/staging/ont_solo/analysis_samples_manifest.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/hiomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/empty_cells/huomr/units.tsv;/Users/jmajor/projects/daylily/daylily-omics-analysis/.test_data/data/hybrid/ug_ont/hg003/3x/units.tsv
