DAY-EC activated.
DAY-EC activated.
PROGRESS_TS	2026-06-02T21:35:51Z
LANES	L002,L006,L008
DF
Filesystem                Size  Used Avail Use% Mounted on
10.0.1.248@tcp:/3vbzxb4v  6.6T  4.2T  2.4T  64% /fsx
AVG_COMPLETE_SHARD_FASTQ_GIB	70.125
COMPLETE_SHARDS_USED_FOR_AVG	12
LANE_COMPLETION	lane	done	missing
LANE_COMPLETION	L002	4	4
LANE_COMPLETION	L006	4	4
LANE_COMPLETION	L008	4	4
ACTIVE_JOBS	jobid	state	elapsed	nodes	lane	shard	fastq_count	fastq_gib	progress_vs_avg	eta
ACTIVE_JOBS	339	RUNNING	7:49	i192mem-dy-all-2	L002	0001_tiles0001-0098	84	11.501	16.4%	39.8m
ACTIVE_JOBS	337	RUNNING	7:49	i192mem-dy-all-2	L002	0002_tiles0099-0196	84	16.620	23.7%	25.1m
ACTIVE_JOBS	333	RUNNING	7:49	i192mem-dy-all-1	L002	0003_tiles0197-0294	84	25.603	36.5%	13.6m
ACTIVE_JOBS	341	RUNNING	7:49	i192mem-dy-all-3	L002	0004_tiles0295-0392	84	23.463	33.5%	15.5m
ACTIVE_JOBS	340	RUNNING	7:49	i192mem-dy-all-2	L006	0001_tiles0001-0098	84	25.552	36.4%	13.6m
ACTIVE_JOBS	336	RUNNING	7:49	i192mem-dy-all-1	L006	0005_tiles0393-0490	84	33.366	47.6%	8.6m
ACTIVE_JOBS	344	RUNNING	7:49	i192mem-dy-all-3	L006	0006_tiles0491-0588	84	39.406	56.2%	6.1m
ACTIVE_JOBS	338	RUNNING	7:49	i192mem-dy-all-2	L006	0008_tiles0687-0784	84	29.262	41.7%	10.9m
ACTIVE_JOBS	334	RUNNING	7:49	i192mem-dy-all-1	L008	0001_tiles0001-0098	84	15.228	21.7%	28.2m
ACTIVE_JOBS	342	RUNNING	7:49	i192mem-dy-all-3	L008	0002_tiles0099-0196	84	11.679	16.7%	39.1m
ACTIVE_JOBS	335	RUNNING	7:49	i192mem-dy-all-1	L008	0003_tiles0197-0294	84	13.709	19.5%	32.2m
ACTIVE_JOBS	343	RUNNING	7:49	i192mem-dy-all-3	L008	0004_tiles0295-0392	84	16.571	23.6%	25.2m
