DAY-EC activated.
DAY-EC activated.
PROGRESS_TS	2026-06-02T23:11:23Z
LANES	L004,L005,L007
DF
Filesystem                Size  Used Avail Use% Mounted on
10.0.1.248@tcp:/3vbzxb4v  6.6T  3.9T  2.7T  60% /fsx
AVG_COMPLETE_SHARD_FASTQ_GIB	69.986
COMPLETE_SHARDS_USED_FOR_AVG	40
LANE_COMPLETION	lane	done	missing
LANE_COMPLETION	L004	0	8
LANE_COMPLETION	L005	0	8
LANE_COMPLETION	L007	0	8
ACTIVE_JOBS	jobid	state	elapsed	nodes	lane	shard	fastq_count	fastq_gib	progress_vs_avg	eta
ACTIVE_JOBS	367	RUNNING	18:20	i192mem-dy-all-5	L004	0001_tiles0001-0098	84	35.944	51.4%	17.4m
ACTIVE_JOBS	371	RUNNING	17:49	i192mem-dy-all-6	L004	0002_tiles0099-0196	84	30.523	43.6%	23.0m
ACTIVE_JOBS	359	RUNNING	17:49	i192mem-dy-all-3	L004	0003_tiles0197-0294	84	32.219	46.0%	20.9m
ACTIVE_JOBS	352	RUNNING	18:20	i192mem-dy-all-1	L004	0004_tiles0295-0392	84	31.534	45.1%	22.4m
ACTIVE_JOBS	356	RUNNING	18:20	i192mem-dy-all-2	L004	0005_tiles0393-0490	84	30.455	43.5%	23.8m
ACTIVE_JOBS	358	RUNNING	17:49	i192mem-dy-all-3	L004	0006_tiles0491-0588	84	36.891	52.7%	16.0m
ACTIVE_JOBS	365	RUNNING	18:20	i192mem-dy-all-5	L004	0007_tiles0589-0686	84	31.926	45.6%	21.9m
ACTIVE_JOBS	368	RUNNING	18:20	i192mem-dy-all-5	L004	0008_tiles0687-0784	84	34.293	49.0%	19.1m
ACTIVE_JOBS	370	RUNNING	17:49	i192mem-dy-all-6	L005	0001_tiles0001-0098	84	35.074	50.1%	17.7m
ACTIVE_JOBS	351	RUNNING	18:20	i192mem-dy-all-1	L005	0002_tiles0099-0196	84	30.728	43.9%	23.4m
ACTIVE_JOBS	355	RUNNING	18:20	i192mem-dy-all-2	L005	0003_tiles0197-0294	84	43.418	62.0%	11.2m
ACTIVE_JOBS	357	RUNNING	17:50	i192mem-dy-all-3	L005	0004_tiles0295-0392	84	36.183	51.7%	16.6m
ACTIVE_JOBS	361	RUNNING	17:49	i192mem-dy-all-4	L005	0005_tiles0393-0490	84	37.308	53.3%	15.6m
ACTIVE_JOBS	364	RUNNING	17:49	i192mem-dy-all-4	L005	0006_tiles0491-0588	84	27.965	40.0%	26.8m
ACTIVE_JOBS	369	RUNNING	17:49	i192mem-dy-all-6	L005	0007_tiles0589-0686	84	39.001	55.7%	14.2m
ACTIVE_JOBS	350	RUNNING	18:20	i192mem-dy-all-1	L005	0008_tiles0687-0784	84	37.931	54.2%	15.5m
ACTIVE_JOBS	354	RUNNING	18:20	i192mem-dy-all-2	L007	0001_tiles0001-0098	84	34.294	49.0%	19.1m
ACTIVE_JOBS	349	RUNNING	18:20	i192mem-dy-all-1	L007	0002_tiles0099-0196	84	30.079	43.0%	24.3m
ACTIVE_JOBS	360	RUNNING	17:49	i192mem-dy-all-3	L007	0003_tiles0197-0294	84	32.361	46.2%	20.7m
ACTIVE_JOBS	363	RUNNING	17:49	i192mem-dy-all-4	L007	0004_tiles0295-0392	84	33.061	47.2%	19.9m
ACTIVE_JOBS	372	RUNNING	17:49	i192mem-dy-all-6	L007	0005_tiles0393-0490	84	29.611	42.3%	24.3m
ACTIVE_JOBS	353	RUNNING	18:20	i192mem-dy-all-2	L007	0006_tiles0491-0588	84	33.543	47.9%	19.9m
ACTIVE_JOBS	362	RUNNING	17:49	i192mem-dy-all-4	L007	0007_tiles0589-0686	84	33.471	47.8%	19.4m
ACTIVE_JOBS	366	RUNNING	18:20	i192mem-dy-all-5	L007	0008_tiles0687-0784	84	33.617	48.0%	19.8m
