DAY-EC activated.
DAY-EC activated.
PROGRESS_TS	2026-06-02T23:22:21Z
LANES	L004,L005,L007
DF
Filesystem                Size  Used Avail Use% Mounted on
10.0.1.248@tcp:/3vbzxb4v  6.6T  4.5T  2.1T  69% /fsx
AVG_COMPLETE_SHARD_FASTQ_GIB	69.986
COMPLETE_SHARDS_USED_FOR_AVG	40
LANE_COMPLETION	lane	done	missing
LANE_COMPLETION	L004	0	8
LANE_COMPLETION	L005	0	8
LANE_COMPLETION	L007	0	8
ACTIVE_JOBS	jobid	state	elapsed	nodes	lane	shard	fastq_count	fastq_gib	progress_vs_avg	eta
ACTIVE_JOBS	367	RUNNING	29:19	i192mem-dy-all-5	L004	0001_tiles0001-0098	84	61.797	88.3%	3.9m
ACTIVE_JOBS	371	RUNNING	28:48	i192mem-dy-all-6	L004	0002_tiles0099-0196	84	54.357	77.7%	8.3m
ACTIVE_JOBS	359	RUNNING	28:48	i192mem-dy-all-3	L004	0003_tiles0197-0294	84	54.154	77.4%	8.4m
ACTIVE_JOBS	352	RUNNING	29:19	i192mem-dy-all-1	L004	0004_tiles0295-0392	84	53.894	77.0%	8.8m
ACTIVE_JOBS	356	RUNNING	29:19	i192mem-dy-all-2	L004	0005_tiles0393-0490	84	50.960	72.8%	10.9m
ACTIVE_JOBS	358	RUNNING	28:48	i192mem-dy-all-3	L004	0006_tiles0491-0588	84	61.437	87.8%	4.0m
ACTIVE_JOBS	365	RUNNING	29:19	i192mem-dy-all-5	L004	0007_tiles0589-0686	84	60.986	87.1%	4.3m
ACTIVE_JOBS	368	RUNNING	29:19	i192mem-dy-all-5	L004	0008_tiles0687-0784	84	60.483	86.4%	4.6m
ACTIVE_JOBS	370	RUNNING	28:48	i192mem-dy-all-6	L005	0001_tiles0001-0098	84	60.869	87.0%	4.3m
ACTIVE_JOBS	351	RUNNING	29:19	i192mem-dy-all-1	L005	0002_tiles0099-0196	84	53.603	76.6%	8.9m
ACTIVE_JOBS	355	RUNNING	29:19	i192mem-dy-all-2	L005	0003_tiles0197-0294	84	66.201	94.6%	1.7m
ACTIVE_JOBS	357	RUNNING	28:49	i192mem-dy-all-3	L005	0004_tiles0295-0392	84	60.836	86.9%	4.3m
ACTIVE_JOBS	361	RUNNING	28:48	i192mem-dy-all-4	L005	0005_tiles0393-0490	84	62.256	89.0%	3.6m
ACTIVE_JOBS	364	RUNNING	28:48	i192mem-dy-all-4	L005	0006_tiles0491-0588	84	49.846	71.2%	11.6m
ACTIVE_JOBS	369	RUNNING	28:48	i192mem-dy-all-6	L005	0007_tiles0589-0686	84	64.745	92.5%	2.3m
ACTIVE_JOBS	350	RUNNING	29:19	i192mem-dy-all-1	L005	0008_tiles0687-0784	84	63.023	90.1%	3.2m
ACTIVE_JOBS	354	RUNNING	29:19	i192mem-dy-all-2	L007	0001_tiles0001-0098	84	59.090	84.4%	5.4m
ACTIVE_JOBS	349	RUNNING	29:19	i192mem-dy-all-1	L007	0002_tiles0099-0196	84	56.238	80.4%	7.2m
ACTIVE_JOBS	360	RUNNING	28:48	i192mem-dy-all-3	L007	0003_tiles0197-0294	84	55.315	79.0%	7.6m
ACTIVE_JOBS	363	RUNNING	28:48	i192mem-dy-all-4	L007	0004_tiles0295-0392	84	56.653	80.9%	6.8m
ACTIVE_JOBS	372	RUNNING	28:48	i192mem-dy-all-6	L007	0005_tiles0393-0490	84	50.110	71.6%	11.4m
ACTIVE_JOBS	353	RUNNING	29:19	i192mem-dy-all-2	L007	0006_tiles0491-0588	84	57.706	82.5%	6.2m
ACTIVE_JOBS	362	RUNNING	28:48	i192mem-dy-all-4	L007	0007_tiles0589-0686	84	56.050	80.1%	7.2m
ACTIVE_JOBS	366	RUNNING	29:19	i192mem-dy-all-5	L007	0008_tiles0687-0784	84	52.271	74.7%	9.9m
