DAY-EC activated.
DAY-EC activated.
PROGRESS_TS	2026-06-02T21:30:24Z
LANES	L002,L006,L008
DF
Filesystem                Size  Used Avail Use% Mounted on
10.0.1.248@tcp:/3vbzxb4v  6.6T  3.9T  2.7T  60% /fsx
AVG_COMPLETE_SHARD_FASTQ_GIB	70.059
COMPLETE_SHARDS_USED_FOR_AVG	11
LANE_COMPLETION	lane	done	missing
LANE_COMPLETION	L002	4	4
LANE_COMPLETION	L006	3	5
LANE_COMPLETION	L008	4	4
ACTIVE_JOBS	jobid	state	elapsed	nodes	lane	shard	fastq_count	fastq_gib	progress_vs_avg	eta
ACTIVE_JOBS	339	RUNNING	2:22	i192mem-dy-all-2	L002	0001_tiles0001-0098	84	0.000	0.0%	unknown
ACTIVE_JOBS	337	RUNNING	2:22	i192mem-dy-all-2	L002	0002_tiles0099-0196	84	0.000	0.0%	unknown
ACTIVE_JOBS	333	RUNNING	2:22	i192mem-dy-all-1	L002	0003_tiles0197-0294	84	1.521	2.2%	106.6m
ACTIVE_JOBS	341	RUNNING	2:22	i192mem-dy-all-3	L002	0004_tiles0295-0392	84	0.449	0.6%	366.6m
ACTIVE_JOBS	340	RUNNING	2:22	i192mem-dy-all-2	L006	0001_tiles0001-0098	84	4.532	6.5%	34.2m
ACTIVE_JOBS	336	RUNNING	2:22	i192mem-dy-all-1	L006	0005_tiles0393-0490	84	10.483	15.0%	13.4m
ACTIVE_JOBS	344	RUNNING	2:22	i192mem-dy-all-3	L006	0006_tiles0491-0588	84	12.466	17.8%	10.9m
ACTIVE_JOBS	345	RUNNING	2:22	i192mem-dy-all-4	L006	0007_tiles0589-0686	84	15.772	22.5%	8.1m
ACTIVE_JOBS	338	RUNNING	2:22	i192mem-dy-all-2	L006	0008_tiles0687-0784	84	7.432	10.6%	19.9m
ACTIVE_JOBS	334	RUNNING	2:22	i192mem-dy-all-1	L008	0001_tiles0001-0098	84	0.000	0.0%	unknown
ACTIVE_JOBS	342	RUNNING	2:22	i192mem-dy-all-3	L008	0002_tiles0099-0196	84	0.000	0.0%	unknown
ACTIVE_JOBS	335	RUNNING	2:22	i192mem-dy-all-1	L008	0003_tiles0197-0294	84	0.000	0.0%	unknown
ACTIVE_JOBS	343	RUNNING	2:22	i192mem-dy-all-3	L008	0004_tiles0295-0392	84	0.000	0.0%	unknown
