DAY-EC activated.
DAY-EC activated.
PROGRESS_TS	2026-06-02T21:24:50Z
LANES	L002,L006,L008
DF
Filesystem                Size  Used Avail Use% Mounted on
10.0.1.248@tcp:/3vbzxb4v  6.6T  3.9T  2.8T  59% /fsx
AVG_COMPLETE_SHARD_FASTQ_GIB	70.059
COMPLETE_SHARDS_USED_FOR_AVG	11
LANE_COMPLETION	lane	done	missing
LANE_COMPLETION	L002	4	4
LANE_COMPLETION	L006	3	5
LANE_COMPLETION	L008	4	4
ACTIVE_JOBS	jobid	state	elapsed	nodes	lane	shard	fastq_count	fastq_gib	progress_vs_avg	eta
ACTIVE_JOBS	339	CONFIGURING	1:35	i192mem-dy-all-2	L002	0001_tiles0001-0098	0	0.000	0.0%	unknown
ACTIVE_JOBS	337	CONFIGURING	1:35	i192mem-dy-all-2	L002	0002_tiles0099-0196	0	0.000	0.0%	unknown
ACTIVE_JOBS	333	CONFIGURING	1:36	i192mem-dy-all-1	L002	0003_tiles0197-0294	0	0.000	0.0%	unknown
ACTIVE_JOBS	341	CONFIGURING	1:35	i192mem-dy-all-3	L002	0004_tiles0295-0392	0	0.000	0.0%	unknown
ACTIVE_JOBS	340	CONFIGURING	1:35	i192mem-dy-all-2	L006	0001_tiles0001-0098	0	0.000	0.0%	unknown
ACTIVE_JOBS	336	CONFIGURING	1:36	i192mem-dy-all-1	L006	0005_tiles0393-0490	0	0.000	0.0%	unknown
ACTIVE_JOBS	344	CONFIGURING	1:35	i192mem-dy-all-3	L006	0006_tiles0491-0588	0	0.000	0.0%	unknown
ACTIVE_JOBS	345	CONFIGURING	1:35	i192mem-dy-all-4	L006	0007_tiles0589-0686	0	0.000	0.0%	unknown
ACTIVE_JOBS	338	CONFIGURING	1:35	i192mem-dy-all-2	L006	0008_tiles0687-0784	0	0.000	0.0%	unknown
ACTIVE_JOBS	334	CONFIGURING	1:36	i192mem-dy-all-1	L008	0001_tiles0001-0098	0	0.000	0.0%	unknown
ACTIVE_JOBS	342	CONFIGURING	1:35	i192mem-dy-all-3	L008	0002_tiles0099-0196	0	0.000	0.0%	unknown
ACTIVE_JOBS	335	CONFIGURING	1:36	i192mem-dy-all-1	L008	0003_tiles0197-0294	0	0.000	0.0%	unknown
ACTIVE_JOBS	343	CONFIGURING	1:35	i192mem-dy-all-3	L008	0004_tiles0295-0392	0	0.000	0.0%	unknown
