DAY-EC activated.
DAY-EC activated.
PROGRESS_TS	2026-06-02T23:00:25Z
LANES	L004,L005,L007
DF
Filesystem                Size  Used Avail Use% Mounted on
10.0.1.248@tcp:/3vbzxb4v  6.6T  3.4T  3.2T  52% /fsx
AVG_COMPLETE_SHARD_FASTQ_GIB	69.986
COMPLETE_SHARDS_USED_FOR_AVG	40
LANE_COMPLETION	lane	done	missing
LANE_COMPLETION	L004	0	8
LANE_COMPLETION	L005	0	8
LANE_COMPLETION	L007	0	8
ACTIVE_JOBS	jobid	state	elapsed	nodes	lane	shard	fastq_count	fastq_gib	progress_vs_avg	eta
ACTIVE_JOBS	367	RUNNING	7:23	i192mem-dy-all-5	L004	0001_tiles0001-0098	84	11.738	16.8%	36.6m
ACTIVE_JOBS	371	RUNNING	6:52	i192mem-dy-all-6	L004	0002_tiles0099-0196	84	6.742	9.6%	64.4m
ACTIVE_JOBS	359	RUNNING	6:52	i192mem-dy-all-3	L004	0003_tiles0197-0294	84	8.172	11.7%	51.9m
ACTIVE_JOBS	352	RUNNING	7:23	i192mem-dy-all-1	L004	0004_tiles0295-0392	84	8.739	12.5%	51.7m
ACTIVE_JOBS	356	RUNNING	7:23	i192mem-dy-all-2	L004	0005_tiles0393-0490	84	9.382	13.4%	47.7m
ACTIVE_JOBS	358	RUNNING	6:52	i192mem-dy-all-3	L004	0006_tiles0491-0588	84	9.613	13.7%	43.1m
ACTIVE_JOBS	365	RUNNING	7:23	i192mem-dy-all-5	L004	0007_tiles0589-0686	84	6.875	9.8%	67.8m
ACTIVE_JOBS	368	RUNNING	7:23	i192mem-dy-all-5	L004	0008_tiles0687-0784	84	10.188	14.6%	43.3m
ACTIVE_JOBS	370	RUNNING	6:52	i192mem-dy-all-6	L005	0001_tiles0001-0098	84	9.379	13.4%	44.4m
ACTIVE_JOBS	351	RUNNING	7:23	i192mem-dy-all-1	L005	0002_tiles0099-0196	84	8.686	12.4%	52.1m
ACTIVE_JOBS	355	RUNNING	7:23	i192mem-dy-all-2	L005	0003_tiles0197-0294	84	20.295	29.0%	18.1m
ACTIVE_JOBS	357	RUNNING	6:53	i192mem-dy-all-3	L005	0004_tiles0295-0392	84	10.276	14.7%	40.0m
ACTIVE_JOBS	361	RUNNING	6:52	i192mem-dy-all-4	L005	0005_tiles0393-0490	84	13.182	18.8%	29.6m
ACTIVE_JOBS	364	RUNNING	6:52	i192mem-dy-all-4	L005	0006_tiles0491-0588	84	4.708	6.7%	95.2m
ACTIVE_JOBS	369	RUNNING	6:52	i192mem-dy-all-6	L005	0007_tiles0589-0686	84	11.913	17.0%	33.5m
ACTIVE_JOBS	350	RUNNING	7:23	i192mem-dy-all-1	L005	0008_tiles0687-0784	84	13.345	19.1%	31.3m
ACTIVE_JOBS	354	RUNNING	7:23	i192mem-dy-all-2	L007	0001_tiles0001-0098	84	9.428	13.5%	47.4m
ACTIVE_JOBS	349	RUNNING	7:23	i192mem-dy-all-1	L007	0002_tiles0099-0196	84	6.157	8.8%	76.5m
ACTIVE_JOBS	360	RUNNING	6:52	i192mem-dy-all-3	L007	0003_tiles0197-0294	84	7.929	11.3%	53.7m
ACTIVE_JOBS	363	RUNNING	6:52	i192mem-dy-all-4	L007	0004_tiles0295-0392	84	10.445	14.9%	39.1m
ACTIVE_JOBS	372	RUNNING	6:52	i192mem-dy-all-6	L007	0005_tiles0393-0490	84	8.343	11.9%	50.7m
ACTIVE_JOBS	353	RUNNING	7:23	i192mem-dy-all-2	L007	0006_tiles0491-0588	84	8.878	12.7%	50.8m
ACTIVE_JOBS	362	RUNNING	6:52	i192mem-dy-all-4	L007	0007_tiles0589-0686	84	9.072	13.0%	46.1m
ACTIVE_JOBS	366	RUNNING	7:23	i192mem-dy-all-5	L007	0008_tiles0687-0784	84	8.935	12.8%	50.5m
