remote_path	type	bytes
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_reports/L004	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/lane_fastqs/L004	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/lane_reports/L004	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L004.0008_tiles0687-0784.bench.tsv	file	343
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/merge_bclconvert_tile_shards.L004.bench.tsv	file	311
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L004.0001_tiles0001-0098.bench.tsv	file	343
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L004.0003_tiles0197-0294.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L004.0002_tiles0099-0196.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L004.0007_tiles0589-0686.bench.tsv	file	343
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L004.0005_tiles0393-0490.bench.tsv	file	343
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L004.0004_tiles0295-0392.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L004.0006_tiles0491-0588.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L004.0006_tiles0491-0588.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L004.0004_tiles0295-0392.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L004.0001_tiles0001-0098.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L004.0005_tiles0393-0490.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L004.0003_tiles0197-0294.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L004.0007_tiles0589-0686.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L004.0008_tiles0687-0784.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/merge_bclconvert_tile_shards.L004.log	file	421
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L004.0002_tiles0099-0196.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L005	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_reports/L005	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/lane_fastqs/L005	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/lane_reports/L005	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L005.0003_tiles0197-0294.bench.tsv	file	343
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/merge_bclconvert_tile_shards.L005.bench.tsv	file	312
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L005.0008_tiles0687-0784.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L005.0001_tiles0001-0098.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L005.0004_tiles0295-0392.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L005.0006_tiles0491-0588.bench.tsv	file	343
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L005.0002_tiles0099-0196.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L005.0007_tiles0589-0686.bench.tsv	file	344
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L005.0005_tiles0393-0490.bench.tsv	file	343
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L005.0008_tiles0687-0784.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L005.0002_tiles0099-0196.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L005.0001_tiles0001-0098.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L005.0005_tiles0393-0490.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L005.0006_tiles0491-0588.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L005.0004_tiles0295-0392.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/merge_bclconvert_tile_shards.L005.log	file	421
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L005.0003_tiles0197-0294.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/logs/run_bclconvert.L005.0007_tiles0589-0686.log	file	7098
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L007	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_reports/L007	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/lane_fastqs/L007	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/lane_reports/L007	dir	0
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/merge_bclconvert_tile_shards.L007.bench.tsv	file	311
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L007.0004_tiles0295-0392.bench.tsv	file	343
/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L007.0006_tiles0491-0588.bench.tsv	file	343
