lane	output_class	shard	path	bytes	gib	undetermined
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL1-a_S22_L004_R1_001.fastq.gz	695027210	0.647294531	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL1-a_S22_L004_R2_001.fastq.gz	704937723	0.656524415	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL1-b_S23_L004_R1_001.fastq.gz	694545811	0.646846193	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL1-b_S23_L004_R2_001.fastq.gz	703786460	0.655452218	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL2-a_S24_L004_R1_001.fastq.gz	769463831	0.716619036	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL2-a_S24_L004_R2_001.fastq.gz	770852545	0.717912377	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL2-b_S25_L004_R1_001.fastq.gz	741552846	0.690624906	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL2-b_S25_L004_R2_001.fastq.gz	756055895	0.704131923	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL3-a_S26_L004_R1_001.fastq.gz	777975205	0.724545871	false
L004	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L004/0001_tiles0001-0098/BUCCAL3-a_S26_L004_R2_001.fastq.gz	785771007	0.731806277	false
