experiment	analysis_root	relative_path	bytes	mtime_epoch	sha256
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	config/hg002_bjuice_v2_multi_analysis_unit_hiomr2.yaml	1924	1786781068	f99240085d16a1c8dd43dec56e3c205d190e97d182a4b91a92422c0adb4c57e1
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-56db7xrgpanwkk.sentdhiomr2lr.na.mosdepth.summary.txt	13862	1786782246	0fdae5592c47158a9b080a8bb6e5d2404ae3b2a1330533b92fe94f4623d1ff1a
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-56db7xrgpanwkk.sentdhiomr2rsr.na.mosdepth.summary.txt	17804	1786837309	17e83c6a8685888aed69e8cd4997dc2a6f501735b205c0ff949c6d14ab48d046
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentdhiomr2sr/smd/htd/smn12/HG002-56db7xrgpanwkk.sentdhiomr2sr.smd.smn12.summary.json	1086	1786789523	537df105c938582710bf3961f66ced832064617fd24243b4db3d72a05952f462
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentdhiomr2sr/smd/htd/smn12/HG002-56db7xrgpanwkk.sentdhiomr2sr.smd.smn12.summary.tsv	267	1786789482	43be928043069c76bf1496c64aff5936a83e286b7871439c0a9fcebb89028bac
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-56db7xrgpanwkk_giabHC_concordance.mqc.tsv	3740	1786838758	e794d9cf24281bffc9c0be7edf008d2f7673abac89f48abf5fbdae70fb669eec
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-56db7xrgpanwkk/CFH/HG002-56db7xrgpanwkk.CFH.done	32	1786837710	4b57c569722f4f390d00b1f5d2d3dfab090236f1ca3f4f6bb76d514a3106153f
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-56db7xrgpanwkk/CFH/HG002-56db7xrgpanwkk.CFH.result.vcf.gz	32778	1786837710	7cc6ba89dd43bd34b10681f72530442374a5a6847d52a8ec1e351740c5366ce7
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-56db7xrgpanwkk/CFH/HG002-56db7xrgpanwkk.CFH.result.vcf.gz.tbi	389	1786837710	d883b7cb1e94bebc03e577a96b7a7dddb92e503c1d9afe8580bb09e9cdea3e25
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-56db7xrgpanwkk/CFH/HG002-56db7xrgpanwkk.CFH.yaml	1833	1786837710	d8fcdd4e55bbdea74fc2a5854e60b581d9a9b38778b13d64c38aec713509445c
E2	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-56db7xrgpanwkk/CYP11B1/HG002-56db7xrgpanwkk.CYP11B1.done	36	1786837314	f7af4438026327204db5f578af844b26675f26676bd704658b58a37b8a98a5c8
