experiment	analysis_root	category	relative_path	bytes	mtime_epoch	sha256	local_path	local_sha256	local_sha256_match
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	config/hg002_bjuice_v2_multi_analysis_unit_hiomr2.yaml	1924	1786708072	f99240085d16a1c8dd43dec56e3c205d190e97d182a4b91a92422c0adb4c57e1	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/config/hg002_bjuice_v2_multi_analysis_unit_hiomr2.yaml	f99240085d16a1c8dd43dec56e3c205d190e97d182a4b91a92422c0adb4c57e1	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-082hc3dnbehb1c.sentdhiomr2lr.na.mosdepth.summary.txt	11432	1786708622	733730eed7954db992c25340dd7c1d7778c351b688e4e656770410302fee219a	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-082hc3dnbehb1c.sentdhiomr2lr.na.mosdepth.summary.txt	733730eed7954db992c25340dd7c1d7778c351b688e4e656770410302fee219a	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-082hc3dnbehb1c.sentdhiomr2rsr.na.mosdepth.summary.txt	18082	1786713794	dde026379f29dcf2bc35b98e9d6366cb078755789522c95d4b6737f6a5f4bbcf	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-082hc3dnbehb1c.sentdhiomr2rsr.na.mosdepth.summary.txt	dde026379f29dcf2bc35b98e9d6366cb078755789522c95d4b6737f6a5f4bbcf	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2sr/smd/htd/smn12/HG002-082hc3dnbehb1c.sentdhiomr2sr.smd.smn12.summary.json	834	1786710551	e0659e350f3dce69ba24188d3c78b37f244bd770a3fe6932d0e6ea6534205a3e	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2sr/smd/htd/smn12/HG002-082hc3dnbehb1c.sentdhiomr2sr.smd.smn12.summary.json	e0659e350f3dce69ba24188d3c78b37f244bd770a3fe6932d0e6ea6534205a3e	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2sr/smd/htd/smn12/HG002-082hc3dnbehb1c.sentdhiomr2sr.smd.smn12.summary.tsv	264	1786710486	6070f46e17503dd2c76715aa2fc219f62f9ae521a6a6360b5f337891479a4f6d	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentdhiomr2sr/smd/htd/smn12/HG002-082hc3dnbehb1c.sentdhiomr2sr.smd.smn12.summary.tsv	6070f46e17503dd2c76715aa2fc219f62f9ae521a6a6360b5f337891479a4f6d	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-082hc3dnbehb1c_giabHC_concordance.mqc.tsv	3683	1786714911	c7a48eb4fa5644c75c87b13ab812a9f3bf5a19cd7742cb57c93c091d7175df3b	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-082hc3dnbehb1c_giabHC_concordance.mqc.tsv	c7a48eb4fa5644c75c87b13ab812a9f3bf5a19cd7742cb57c93c091d7175df3b	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-082hc3dnbehb1c/CFH/HG002-082hc3dnbehb1c.CFH.done	32	1786711430	4b57c569722f4f390d00b1f5d2d3dfab090236f1ca3f4f6bb76d514a3106153f	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-082hc3dnbehb1c/CFH/HG002-082hc3dnbehb1c.CFH.done	4b57c569722f4f390d00b1f5d2d3dfab090236f1ca3f4f6bb76d514a3106153f	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-082hc3dnbehb1c/CFH/HG002-082hc3dnbehb1c.CFH.result.vcf.gz	7985	1786711430	ff77e94224866496bc13376ea26d730e60d9d1e1835e4445acf0ad85578ea623	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-082hc3dnbehb1c/CFH/HG002-082hc3dnbehb1c.CFH.result.vcf.gz	ff77e94224866496bc13376ea26d730e60d9d1e1835e4445acf0ad85578ea623	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-082hc3dnbehb1c/CFH/HG002-082hc3dnbehb1c.CFH.result.vcf.gz.tbi	352	1786711430	1600476f831e7dfc539fb94165fbc423d7bce2599bee4569c6f19df2175e95b1	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-082hc3dnbehb1c/CFH/HG002-082hc3dnbehb1c.CFH.result.vcf.gz.tbi	1600476f831e7dfc539fb94165fbc423d7bce2599bee4569c6f19df2175e95b1	1
E1	/fsx/analysis_results/prod-cand-1703/prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	NA	results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-082hc3dnbehb1c/CFH/HG002-082hc3dnbehb1c.CFH.yaml	1829	1786711430	689520b34e42a828a690934f70dc62266a081339ca4a62f7a8274f7dc1a113e1	/Users/jmajor/.codex-worktrees/dyec-bjuice-matrix-e4-final-20260819/docs/jem_reports/hg002_bjuice_downsample_combined_report_assets/evidence/raw/E1/daylily-omics-analysis/results/day/hg38/HG002-082hc3dnbehb1c/align/sentmm2ont/na/snv/sentdhiomr2/segdup/HG002-082hc3dnbehb1c/CFH/HG002-082hc3dnbehb1c.CFH.yaml	689520b34e42a828a690934f70dc62266a081339ca4a62f7a8274f7dc1a113e1	1
