observation_id	experiment	experiment_title	analysis_id	au	runtime_au	source_analysis_unit_uid	plot_label	ilmn_measured_token	rsr_measured_token	ont_measured_token	ilmn_target	ont_target	ilmn_abs_error	ont_abs_error	subsample_pct	ont_start_hour	ont_end_hour	selection_status	coverage_source_ilmn	coverage_source_rsr	coverage_source_ont	coverage_capture_method	evidence_captured_at	direct_s3_captured_at	snapshot_workflow_state	snapshot_controller_rc	benchmark_scope
OBS01	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N01	HG002-ehyq1gkgctd5sk	HG002-ilmn0p5x-ont0p5x-h01	E4:N01	0.56	0.11	0.57	0.5	0.5	0.06	0.07	0.011433798307	0	1	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-ehyq1gkgctd5sk/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-ehyq1gkgctd5sk.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-ehyq1gkgctd5sk/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-ehyq1gkgctd5sk.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-ehyq1gkgctd5sk/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-ehyq1gkgctd5sk.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS02	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N02	HG002-chjze1q0erq9s3	HG002-ilmn0p5x-ont4x-h08	E4:N02	0.56	0.18	4.63	0.5	4.0	0.06	0.63	0.011433798307	0	8	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-chjze1q0erq9s3/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-chjze1q0erq9s3.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-chjze1q0erq9s3/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-chjze1q0erq9s3.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-chjze1q0erq9s3/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-chjze1q0erq9s3.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS03	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N03	HG002-3am5mqch4e741r	HG002-ilmn0p5x-ont12x-h24	E4:N03	0.56	0.20	11.43	0.5	12.0	0.06	-0.57	0.011433798307	0	24	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-3am5mqch4e741r/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-3am5mqch4e741r.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-3am5mqch4e741r/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-3am5mqch4e741r.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-3am5mqch4e741r/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-3am5mqch4e741r.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS04	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N04	HG002-yjk6fdaa4kbmwx	HG002-ilmn0p5x-ont30x-h72	E4:N04	0.56	0.20	18.77	0.5	30.0	0.06	-11.23	0.011433798307	0	72	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-yjk6fdaa4kbmwx/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-yjk6fdaa4kbmwx.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-yjk6fdaa4kbmwx/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-yjk6fdaa4kbmwx.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-yjk6fdaa4kbmwx/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-yjk6fdaa4kbmwx.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS05	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N11	HG002-1w3583n0mxzmxk	HG002-ilmn2x-ont0p5x-h01	E4:N11	2.25	0.45	0.57	2.0	0.5	0.25	0.07	0.045735193231	0	1	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-1w3583n0mxzmxk/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-1w3583n0mxzmxk.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-1w3583n0mxzmxk/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-1w3583n0mxzmxk.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-1w3583n0mxzmxk/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-1w3583n0mxzmxk.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS06	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N12	HG002-69qtwf5v9wjrh3	HG002-ilmn2x-ont4x-h08	E4:N12	2.25	0.73	4.63	2.0	4.0	0.25	0.63	0.045735193231	0	8	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-69qtwf5v9wjrh3/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-69qtwf5v9wjrh3.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-69qtwf5v9wjrh3/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-69qtwf5v9wjrh3.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-69qtwf5v9wjrh3/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-69qtwf5v9wjrh3.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS07	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N13	HG002-afd318m6ttcxqg	HG002-ilmn2x-ont12x-h24	E4:N13	2.25	0.80	11.43	2.0	12.0	0.25	-0.57	0.045735193231	0	24	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-afd318m6ttcxqg/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-afd318m6ttcxqg.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-afd318m6ttcxqg/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-afd318m6ttcxqg.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-afd318m6ttcxqg/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-afd318m6ttcxqg.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS08	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N14	HG002-bkvtsgeczn2ycw	HG002-ilmn2x-ont30x-h72	E4:N14	2.25	0.81	18.77	2.0	30.0	0.25	-11.23	0.045735193231	0	72	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-bkvtsgeczn2ycw/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-bkvtsgeczn2ycw.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-bkvtsgeczn2ycw/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-bkvtsgeczn2ycw.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-bkvtsgeczn2ycw/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-bkvtsgeczn2ycw.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS09	E4	Twenty-AU controlled native-SR × cumulative-ONT matrix	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N19	HG002-nk7tnqw08n0e91	HG002-ilmn5x-ont30x-h72	E4:N19	5.57	1.99	18.77	5.0	30.0	0.57	-11.23	0.114337983077	0	72	retained_unique	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-nk7tnqw08n0e91/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-nk7tnqw08n0e91.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-nk7tnqw08n0e91/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-nk7tnqw08n0e91.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-ssf-sequencing-data/derived/pre-rel-18025/prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live/daylily-omics-analysis/results/day/hg38/HG002-nk7tnqw08n0e91/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-nk7tnqw08n0e91.sentdhiomr2lr.na.mosdepth.summary.txt	successful no-delete S3 export of E4 clone	2026-08-18T17:55:26Z	NA	running	NA	successful raw benchmark attempts present at snapshot; not final workflow accounting
OBS10	E3	Four-AU measured-coverage gap-fill experiment	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	10xby10x	HG002-nxw0jbvh1h5mqx	HG002-10xby10x	E3:10xby10x	10.81	3.72	9.67	9.85	9.67	0.96	0.0	0.225245826663	0	19	retained_unique	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentdhiomr2sr/smd/alignqc/mosdepth/HG002-nxw0jbvh1h5mqx.sentdhiomr2sr.smd.mosdepth.summary.txt	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentdhiomr2rsr/na/alignqc/mosdepth/HG002-nxw0jbvh1h5mqx.sentdhiomr2rsr.na.mosdepth.summary.txt	s3://lsmc-dayoa-analysis-results-usw2/derived/bjuice-v2-multi-analysis-unit/prod-cand-1703/prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z/daylily-omics-analysis/results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentdhiomr2lr/na/alignqc/mosdepth/HG002-nxw0jbvh1h5mqx.sentdhiomr2lr.na.mosdepth.summary.txt	direct completed-export S3 read	2026-08-18T10:03:39Z	2026-08-18T10:03:39Z	completed export	0	completed execution benchmark summary
