kind,service,region,id,state,tag_status,console_url,reason,confidence,estimated_monthly_usd
ebs_volume,EBS,us-west-2,vol-042a5f5daead20490,available,missing_name,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#VolumeDetails:volumeId=vol-042a5f5daead20490,EBS volume is unattached (421 GiB),high,33.68
ebs_volume,EBS,us-west-2,vol-067169329e7a92af1,available,missing_name,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#VolumeDetails:volumeId=vol-067169329e7a92af1,EBS volume is unattached (421 GiB),high,33.68
ebs_volume,EBS,us-west-2,vol-0c90d4fbaada3820a,available,missing_name,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#VolumeDetails:volumeId=vol-0c90d4fbaada3820a,EBS volume is unattached (421 GiB),high,33.68
ebs_volume,EBS,us-west-2,vol-0f5e5d7eec5982fa8,available,missing_name,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#VolumeDetails:volumeId=vol-0f5e5d7eec5982fa8,EBS volume is unattached (421 GiB),high,33.68
eip,EC2,us-west-2,eipalloc-02ef5760f8f8700fd,unassociated,missing_project,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#Addresses:PublicIp=eipalloc-02ef5760f8f8700fd,Elastic IP is unassociated and billable while allocated,high,3.6
fsx_file_system,FSx,us-west-2,fs-01c4180aab049f24c,AVAILABLE,attributed,https://us-west-2.console.aws.amazon.com/fsx/home?region=us-west-2#file-system-details/fs-01c4180aab049f24c,Large FSx Lustre filesystem remains AVAILABLE (14400 GiB),medium,2016.0
fsx_file_system,FSx,us-west-2,fs-017ab7a7cdbf44c54,AVAILABLE,attributed,https://us-west-2.console.aws.amazon.com/fsx/home?region=us-west-2#file-system-details/fs-017ab7a7cdbf44c54,Large FSx Lustre filesystem remains AVAILABLE (12000 GiB),medium,1680.0
nat_gateway,VPC,us-west-2,nat-00246c8ef3b9087f1,available,attributed,https://us-west-2.console.aws.amazon.com/vpcconsole/home?region=us-west-2#NatGatewayDetails:natGatewayId=nat-00246c8ef3b9087f1,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,us-west-2,nat-00ac08b685fea726f,available,missing_cluster_or_stack,https://us-west-2.console.aws.amazon.com/vpcconsole/home?region=us-west-2#NatGatewayDetails:natGatewayId=nat-00ac08b685fea726f,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,us-west-2,nat-00f3c26e43ede9b10,available,missing_project,https://us-west-2.console.aws.amazon.com/vpcconsole/home?region=us-west-2#NatGatewayDetails:natGatewayId=nat-00f3c26e43ede9b10,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,ap-south-1,nat-01dc061291fc51e75,available,missing_project,https://ap-south-1.console.aws.amazon.com/vpcconsole/home?region=ap-south-1#NatGatewayDetails:natGatewayId=nat-01dc061291fc51e75,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,us-west-2,nat-0234e77781575cced,available,missing_cluster_or_stack,https://us-west-2.console.aws.amazon.com/vpcconsole/home?region=us-west-2#NatGatewayDetails:natGatewayId=nat-0234e77781575cced,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,us-east-1,nat-02c9c39356256ee15,available,attributed,https://us-east-1.console.aws.amazon.com/vpcconsole/home?region=us-east-1#NatGatewayDetails:natGatewayId=nat-02c9c39356256ee15,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,ap-south-1,nat-05f85018216cac061,available,missing_project,https://ap-south-1.console.aws.amazon.com/vpcconsole/home?region=ap-south-1#NatGatewayDetails:natGatewayId=nat-05f85018216cac061,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,us-east-1,nat-0968cd814fed8bfff,available,attributed,https://us-east-1.console.aws.amazon.com/vpcconsole/home?region=us-east-1#NatGatewayDetails:natGatewayId=nat-0968cd814fed8bfff,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,eu-central-1,nat-0a2bfbfedf38f8e87,available,missing_project,https://eu-central-1.console.aws.amazon.com/vpcconsole/home?region=eu-central-1#NatGatewayDetails:natGatewayId=nat-0a2bfbfedf38f8e87,NAT gateway is available; verify traffic before retaining,medium,32.4
nat_gateway,VPC,eu-central-1,nat-0ec6ae9605269bef4,available,missing_project,https://eu-central-1.console.aws.amazon.com/vpcconsole/home?region=eu-central-1#NatGatewayDetails:natGatewayId=nat-0ec6ae9605269bef4,NAT gateway is available; verify traffic before retaining,medium,32.4
rds_instance,RDS,us-west-2,dayhoff-lsmcq7-tapdb-writer,available,missing_name,https://us-west-2.console.aws.amazon.com/rds/home?region=us-west-2#database:id=dayhoff-lsmcq7-tapdb-writer;is-cluster=false,RDS instance is available on large class db.r8g.2xlarge,medium,
