LIBRARY_ID	LIBRARY_EUID	SAMPLEID	LIBPREP	AMPLIFICATION_TYPE	LIBRARY_COMMENT
LIB-ilmn-run16-r16-line068-ILMN-CASE5-P-ILMN		CASE5-P	UNKNOWN	WGS	Corrected line 68; ILMN library ILMN-CASE5-P
LIB-ilmn-run16-r16-line068-ILMN-CASE5-P-ONT		CASE5-P	UNKNOWN	WGS	Corrected line 68; ONT library CASE5
LIB-ilmn-run16-r16-line069-ILMN-CASE6-P-ILMN		CASE6-P	UNKNOWN	WGS	Corrected line 69; ILMN library ILMN-CASE6-P
LIB-ilmn-run16-r16-line069-ILMN-CASE6-P-ONT		CASE6-P	UNKNOWN	WGS	Corrected line 69; ONT library CASE6
LIB-ilmn-run16-r16-line070-ILMN-CASE7-P-ILMN		CASE7-P	UNKNOWN	WGS	Corrected line 70; ILMN library ILMN-CASE7-P
LIB-ilmn-run16-r16-line070-ILMN-CASE7-P-ONT		CASE7-P	UNKNOWN	WGS	Corrected line 70; ONT library CASE7
LIB-ilmn-run16-r16-line071-ILMN-CASE8-P-ILMN		CASE8-P	UNKNOWN	WGS	Corrected line 71; ILMN library ILMN-CASE8-P
LIB-ilmn-run16-r16-line071-ILMN-CASE8-P-ONT		CASE8-P	UNKNOWN	WGS	Corrected line 71; ONT library CASE8
LIB-ilmn-run16-r16-line072-ILMN-CASE9-P-ILMN		CASE9-P	UNKNOWN	WGS	Corrected line 72; ILMN library ILMN-CASE9-P
LIB-ilmn-run16-r16-line072-ILMN-CASE9-P-ONT		CASE9-P	UNKNOWN	WGS	Corrected line 72; ONT library CASE9
LIB-ilmn-run16-r16-line073-ILMN-CASE10-P-ILMN		CASE10-P	UNKNOWN	WGS	Corrected line 73; ILMN library ILMN-CASE10-P
LIB-ilmn-run16-r16-line073-ILMN-CASE10-P-ONT		CASE10-P	UNKNOWN	WGS	Corrected line 73; ONT library CASE10
LIB-ilmn-run16-r16-line095-ILMN-CASE1-M-a-ILMN		CASE1-M	UNKNOWN	WGS	Corrected line 95; ILMN library ILMN-CASE1-M-a
LIB-ilmn-run16-r16-line095-ILMN-CASE1-M-a-ONT		CASE1-M	UNKNOWN	WGS	Corrected line 95; ONT library CASE1-M-a
LIB-ilmn-run16-r16-line096-ILMN-CASE1-P-a-ILMN		CASE1-P	UNKNOWN	WGS	Corrected line 96; ILMN library ILMN-CASE1-P-a
LIB-ilmn-run16-r16-line096-ILMN-CASE1-P-a-ONT		CASE1-P	UNKNOWN	WGS	Corrected line 96; ONT library CASE1-P-a
LIB-ilmn-run16-r16-line097-ILMN-CASE1-F-a-ILMN		CASE1-F	UNKNOWN	WGS	Corrected line 97; ILMN library ILMN-CASE1-F-a
LIB-ilmn-run16-r16-line097-ILMN-CASE1-F-a-ONT		CASE1-F	UNKNOWN	WGS	Corrected line 97; ONT library CASE1-F-a
LIB-ilmn-run16-r16-line098-ILMN-CASE2-P-a-ILMN		CASE2-P	UNKNOWN	WGS	Corrected line 98; ILMN library ILMN-CASE2-P-a
LIB-ilmn-run16-r16-line098-ILMN-CASE2-P-a-ONT		CASE2-P	UNKNOWN	WGS	Corrected line 98; ONT library CASE2-P-a
LIB-ilmn-run16-r16-line099-ILMN-CASE2-P-b-ILMN		CASE2-P	UNKNOWN	WGS	Corrected line 99; ILMN library ILMN-CASE2-P-b
LIB-ilmn-run16-r16-line099-ILMN-CASE2-P-b-ONT		CASE2-P	UNKNOWN	WGS	Corrected line 99; ONT library CASE2-P-b
LIB-ilmn-run16-r16-line100-ILMN-CASE2-P-c-ILMN		CASE2-P	UNKNOWN	WGS	Corrected line 100; ILMN library ILMN-CASE2-P-c
