SAMPLEID	SAMPLE_EUID	SPECIMEN_ID	SAMPLECLASS	SAMPLE_TYPE	SAMPLEUSE	ORDER_TYPE	CONCORDANCE_CONTROL_PATH	IS_POSITIVE_CONTROL	IS_NEGATIVE_CONTROL	TUM_NRM_SAMPLEID_MATCH	EXTERNAL_SAMPLE_ID	IDDNA_UID	TRUTH_DATA_DIR	SAMPLE_COMMENT
BUCCAL1		BUCCAL1	research	buccal	research	research		false	false	na	BUCCAL1			Corrected Bjuice validation guidance sample
BUCCAL10		BUCCAL10	research	buccal	research	research		false	false	na	BUCCAL10			Corrected Bjuice validation guidance sample
BUCCAL2		BUCCAL2	research	buccal	research	research		false	false	na	BUCCAL2			Corrected Bjuice validation guidance sample
BUCCAL3		BUCCAL3	research	buccal	research	research		false	false	na	BUCCAL3			Corrected Bjuice validation guidance sample
CASE1-F		CASE1-F	research	blood	research	research		false	false	na	CASE1-F			Corrected Bjuice validation guidance sample
CASE1-M		CASE1-M	research	blood	research	research		false	false	na	CASE1-M			Corrected Bjuice validation guidance sample
CASE1-P		CASE1-P	research	blood	research	research		false	false	na	CASE1-P			Corrected Bjuice validation guidance sample
CASE10-F		CASE10-F	research	blood	research	research		false	false	na	CASE10-F			Corrected Bjuice validation guidance sample
CASE10-M		CASE10-M	research	blood	research	research		false	false	na	CASE10-M			Corrected Bjuice validation guidance sample
CASE10-P		CASE10-P	research	blood	research	research		false	false	na	CASE10-P			Corrected Bjuice validation guidance sample
CASE11-M		CASE11-M	research	blood	research	research		false	false	na	CASE11-M			Corrected Bjuice validation guidance sample
CASE11-P		CASE11-P	research	blood	research	research		false	false	na	CASE11-P			Corrected Bjuice validation guidance sample
CASE12-M		CASE12-M	research	blood	research	research		false	false	na	CASE12-M			Corrected Bjuice validation guidance sample
CASE12-P		CASE12-P	research	blood	research	research		false	false	na	CASE12-P			Corrected Bjuice validation guidance sample
CASE13-F		CASE13-F	research	blood	research	research		false	false	na	CASE13-F			Corrected Bjuice validation guidance sample
CASE13-M		CASE13-M	research	blood	research	research		false	false	na	CASE13-M			Corrected Bjuice validation guidance sample
CASE13-P		CASE13-P	research	blood	research	research		false	false	na	CASE13-P			Corrected Bjuice validation guidance sample
CASE14-F		CASE14-F	research	blood	research	research		false	false	na	CASE14-F			Corrected Bjuice validation guidance sample
CASE14-M		CASE14-M	research	blood	research	research		false	false	na	CASE14-M			Corrected Bjuice validation guidance sample
CASE14-P		CASE14-P	research	blood	research	research		false	false	na	CASE14-P			Corrected Bjuice validation guidance sample
CASE15-P		CASE15-P	research	blood	research	research		false	false	na	CASE15-P			Corrected Bjuice validation guidance sample
CASE16-M		CASE16-M	research	blood	research	research		false	false	na	CASE16-M			Corrected Bjuice validation guidance sample
CASE16-P		CASE16-P	research	blood	research	research		false	false	na	CASE16-P			Corrected Bjuice validation guidance sample
CASE17		CASE17	research	blood	research	research		false	false	na	CASE17			Corrected Bjuice validation guidance sample
CASE18		CASE18	research	blood	research	research		false	false	na	CASE18			Corrected Bjuice validation guidance sample
CASE19-M		CASE19-M	research	blood	research	research		false	false	na	CASE19-M			Corrected Bjuice validation guidance sample
CASE19-P		CASE19-P	research	blood	research	research		false	false	na	CASE19-P			Corrected Bjuice validation guidance sample
CASE2-P		CASE2-P	research	blood	research	research		false	false	na	CASE2-P			Corrected Bjuice validation guidance sample
CASE5-F		CASE5-F	research	blood	research	research		false	false	na	CASE5-F			Corrected Bjuice validation guidance sample
CASE5-M		CASE5-M	research	blood	research	research		false	false	na	CASE5-M			Corrected Bjuice validation guidance sample
CASE5-P		CASE5-P	research	blood	research	research		false	false	na	CASE5-P			Corrected Bjuice validation guidance sample
CASE6-P		CASE6-P	research	blood	research	research		false	false	na	CASE6-P			Corrected Bjuice validation guidance sample
CASE7-F		CASE7-F	research	blood	research	research		false	false	na	CASE7-F			Corrected Bjuice validation guidance sample
CASE7-M		CASE7-M	research	blood	research	research		false	false	na	CASE7-M			Corrected Bjuice validation guidance sample
CASE7-P		CASE7-P	research	blood	research	research		false	false	na	CASE7-P			Corrected Bjuice validation guidance sample
CASE8-P		CASE8-P	research	blood	research	research		false	false	na	CASE8-P			Corrected Bjuice validation guidance sample
CASE9-M		CASE9-M	research	blood	research	research		false	false	na	CASE9-M			Corrected Bjuice validation guidance sample
CASE9-P		CASE9-P	research	blood	research	research		false	false	na	CASE9-P			Corrected Bjuice validation guidance sample
