platform	sample	panel	partition	barcode	uri	bytes
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_0.fastq.gz	816412304
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_1.fastq.gz	810656370
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_10.fastq.gz	529798563
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_11.fastq.gz	448751106
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_12.fastq.gz	430614420
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_13.fastq.gz	462706542
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_14.fastq.gz	430326420
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_15.fastq.gz	410242610
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_16.fastq.gz	413436863
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_17.fastq.gz	373608839
