time_start,time_end,estimated,amount_usd,usage_type
2026-03-21,2026-04-01,False,0.0,AFS1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AFS1-EC2-free-metering
2026-03-21,2026-04-01,False,0.0,AFS1-ECR-free-metering
2026-03-21,2026-04-01,False,0.024505,AFS1-EventsAnalyzed
2026-03-21,2026-04-01,False,0.0,AFS1-Lambda-Standard-free-metering
2026-03-21,2026-04-01,False,0.0,AFS1-OtherProduct:PaidFindingsIngestion
2026-03-21,2026-04-01,False,0.0,AFS1-Requests-Tier1
2026-03-21,2026-04-01,False,0.00099,AFS1-Requests-Tier8
2026-03-21,2026-04-01,False,0.0,AFS1-SecurityHubProduct:FreeFindingsIngestion
2026-03-21,2026-04-01,False,0.000132,AFS1-Tables-Requests-Tier1
2026-03-21,2026-04-01,False,0.0,APE1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,APE1-EC2-free-metering
2026-03-21,2026-04-01,False,0.0,APE1-ECR-free-metering
2026-03-21,2026-04-01,False,0.02589312,APE1-EventsAnalyzed
2026-03-21,2026-04-01,False,0.0,APE1-Lambda-Standard-free-metering
2026-03-21,2026-04-01,False,0.0,APE1-OtherProduct:PaidFindingsIngestion
2026-03-21,2026-04-01,False,0.0,APE1-Requests-Tier1
2026-03-21,2026-04-01,False,0.00099,APE1-Requests-Tier8
2026-03-21,2026-04-01,False,0.0,APE1-SecurityHubProduct:FreeFindingsIngestion
2026-03-21,2026-04-01,False,0.00011,APE1-Tables-Requests-Tier1
2026-03-21,2026-04-01,False,0.000115,APN1-AWSSecretsManagerAPIRequest
2026-03-21,2026-04-01,False,0.0,APN1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,APN1-DataTransfer-In-Bytes
2026-03-21,2026-04-01,False,0.0,APN1-DataTransfer-Out-Bytes
2026-03-21,2026-04-01,False,0.0,APN1-EC2-free-metering
2026-03-21,2026-04-01,False,0.0,APN1-ECR-free-metering
2026-03-21,2026-04-01,False,0.02325072,APN1-EventsAnalyzed
2026-03-21,2026-04-01,False,0.0,APN1-Lambda-Code-free-metering
2026-03-21,2026-04-01,False,0.0,APN1-Lambda-Standard-free-metering
2026-03-21,2026-04-01,False,0.0,APN1-OtherProduct:PaidFindingsIngestion
2026-03-21,2026-04-01,False,0.352,APN1-PaidComplianceCheck
2026-03-21,2026-04-01,False,0.00391288,APN1-PaidEventsAnalyzed
2026-03-21,2026-04-01,False,0.0001034,APN1-Requests-Tier1
2026-03-21,2026-04-01,False,0.00099,APN1-Requests-Tier8
2026-03-21,2026-04-01,False,0.0,APN1-SC-API-Calls
2026-03-21,2026-04-01,False,0.0,APN1-SecurityHubProduct:FreeFindingsIngestion
2026-03-21,2026-04-01,False,0.0001034,APN1-Tables-Requests-Tier1
2026-03-21,2026-04-01,False,0.0,APN1-USW2-AWS-In-Bytes
2026-03-21,2026-04-01,False,4.2e-08,APN1-USW2-AWS-Out-Bytes
2026-03-21,2026-04-01,False,0.000115,APN2-AWSSecretsManagerAPIRequest
2026-03-21,2026-04-01,False,0.0,APN2-Catalog-Request
2026-03-21,2026-04-01,False,0.0,APN2-DataTransfer-In-Bytes
2026-03-21,2026-04-01,False,0.0,APN2-DataTransfer-Out-Bytes
2026-03-21,2026-04-01,False,0.0,APN2-EC2-free-metering
2026-03-21,2026-04-01,False,0.0,APN2-ECR-free-metering
2026-03-21,2026-04-01,False,0.0226596,APN2-EventsAnalyzed
2026-03-21,2026-04-01,False,0.0,APN2-Lambda-Standard-free-metering
2026-03-21,2026-04-01,False,0.0,APN2-OtherProduct:PaidFindingsIngestion
2026-03-21,2026-04-01,False,0.352,APN2-PaidComplianceCheck
2026-03-21,2026-04-01,False,0.003818,APN2-PaidEventsAnalyzed
2026-03-21,2026-04-01,False,0.0,APN2-Requests-Tier1
2026-03-21,2026-04-01,False,0.00099,APN2-Requests-Tier8
2026-03-21,2026-04-01,False,0.0,APN2-SC-API-Calls
2026-03-21,2026-04-01,False,0.0,APN2-SecurityHubProduct:FreeFindingsIngestion
2026-03-21,2026-04-01,False,9.9e-05,APN2-Tables-Requests-Tier1
2026-03-21,2026-04-01,False,0.0,APN2-USW2-AWS-In-Bytes
2026-03-21,2026-04-01,False,3.7e-08,APN2-USW2-AWS-Out-Bytes
2026-03-21,2026-04-01,False,0.000115,APN3-AWSSecretsManagerAPIRequest
2026-03-21,2026-04-01,False,0.0,APN3-Catalog-Request
2026-03-21,2026-04-01,False,0.0,APN3-DataTransfer-In-Bytes
2026-03-21,2026-04-01,False,0.0,APN3-DataTransfer-Out-Bytes
