time_start,time_end,estimated,amount_usd,tag_parallelcluster_cluster_name,tag_parallelcluster_cluster_name_value
2026-03-21,2026-04-01,False,1029.4386094451,parallelcluster:cluster-name$,
2026-03-21,2026-04-01,False,11.9509677408,parallelcluster:cluster-name$day-test-uswest2d,day-test-uswest2d
2026-03-21,2026-04-01,False,59.6234601975,parallelcluster:cluster-name$daylily-1773057991,daylily-1773057991
2026-03-21,2026-04-01,False,114.4587216073,parallelcluster:cluster-name$daylily-1773059211,daylily-1773059211
2026-03-21,2026-04-01,False,428.7654140278,parallelcluster:cluster-name$ifx-go,ifx-go
2026-03-21,2026-04-01,False,695.0503183388,parallelcluster:cluster-name$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,3732.1218409717,parallelcluster:cluster-name$,
2026-04-01,2026-05-01,False,88.6487299275,parallelcluster:cluster-name$and-again,and-again
2026-04-01,2026-05-01,False,45.1525457917,parallelcluster:cluster-name$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,33.680000016,parallelcluster:cluster-name$day-test-uswest2d,day-test-uswest2d
2026-04-01,2026-05-01,False,168.0278835717,parallelcluster:cluster-name$daylily-1773057991,daylily-1773057991
2026-04-01,2026-05-01,False,201.7078845406,parallelcluster:cluster-name$daylily-1773059211,daylily-1773059211
2026-04-01,2026-05-01,False,49.9288700111,parallelcluster:cluster-name$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,261.1381192921,parallelcluster:cluster-name$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,1377.7494923,parallelcluster:cluster-name$ifx-go,ifx-go
2026-04-01,2026-05-01,False,687.0709572809,parallelcluster:cluster-name$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,276.2825767926,parallelcluster:cluster-name$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,50.8109184558,parallelcluster:cluster-name$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,93.4294675478,parallelcluster:cluster-name$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,432.6906184103,parallelcluster:cluster-name$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,5.8352330051,parallelcluster:cluster-name$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,1283.9178601332,parallelcluster:cluster-name$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,169.4985535496,parallelcluster:cluster-name$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,143.1968127244,parallelcluster:cluster-name$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,32.7451569968,parallelcluster:cluster-name$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,33.5036086645,parallelcluster:cluster-name$mkdec219,mkdec219
2026-04-01,2026-05-01,False,167.4104765831,parallelcluster:cluster-name$test-del-me,test-del-me
2026-05-01,2026-06-01,False,8618.371768077,parallelcluster:cluster-name$,
2026-05-01,2026-06-01,False,795.0533565625,parallelcluster:cluster-name$XL-pilot,XL-pilot
2026-05-01,2026-06-01,False,4.6674282895,parallelcluster:cluster-name$XLpilot,XLpilot
2026-05-01,2026-06-01,False,87.4345512797,parallelcluster:cluster-name$and-again,and-again
2026-05-01,2026-06-01,False,830.7795637742,parallelcluster:cluster-name$at-sanity,at-sanity
2026-05-01,2026-06-01,False,98.5684110464,parallelcluster:cluster-name$blahab44,blahab44
2026-05-01,2026-06-01,False,0.0002945726,parallelcluster:cluster-name$bucketsamok,bucketsamok
2026-05-01,2026-06-01,False,33.6799999968,parallelcluster:cluster-name$day-test-uswest2d,day-test-uswest2d
2026-05-01,2026-06-01,False,96.9647840438,parallelcluster:cluster-name$daylily-1773057991,daylily-1773057991
2026-05-01,2026-06-01,False,130.646022519,parallelcluster:cluster-name$daylily-1773059211,daylily-1773059211
2026-05-01,2026-06-01,False,22.6138599602,parallelcluster:cluster-name$daylily-demo-cluster,daylily-demo-cluster
2026-05-01,2026-06-01,False,0.0,parallelcluster:cluster-name$dec215-0426,dec215-0426
2026-05-01,2026-06-01,False,566.1391136468,parallelcluster:cluster-name$dec219-cluster,dec219-cluster
2026-05-01,2026-06-01,False,1047.2821618849,parallelcluster:cluster-name$dra-enabled,dra-enabled
2026-05-01,2026-06-01,False,0.1023229646,parallelcluster:cluster-name$dra-test2,dra-test2
2026-05-01,2026-06-01,False,28.8278740925,parallelcluster:cluster-name$dra-test4,dra-test4
