time_start,time_end,estimated,amount_usd,resource_id,service,classification
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-01dc061291fc51e75,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-05f85018216cac061,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0a2bfbfedf38f8e87,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0ec6ae9605269bef4,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0,arn:aws:ec2:us-east-1:108782052779:natgateway/nat-089a96601cfd34f9d,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00246c8ef3b9087f1,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00ac08b685fea726f,Amazon Elastic Compute Cloud - Compute,terrarium
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,4.708e-07,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00f3c26e43ede9b10,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-0234e77781575cced,Amazon Elastic Compute Cloud - Compute,terrarium
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.0011521352,arn:aws:ec2:us-west-2:171675361862:natgateway/nat-01432c586ef9dbf51,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,3.9936,i-01db42c813d037c0e,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,50.1264124704,i-01fdf39c363930bff,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,1.2663393523,i-036e1b539e61ce81e,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,2.9414935755,i-042b2f0782bef659e,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.1248,i-04d3a8c6aae87f818,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,17.4867509795,i-04f28c7eb2feef15e,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.6067023523,i-0563349819d32df66,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,3.1951,i-060ced269794d7f6f,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,7.9877989441,i-07df3a933e4839f52,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,7.2194771979,i-09126000eb19643b0,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.8113813996,i-093dc06a7563219d5,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.4992,i-09f66b3f11ea42c60,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,7.2192,i-0a70e6af119b993f3,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.2496,i-0ab7116abc8229a16,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,8.0006276551,i-0b6713cc15f74d360,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,19.9877134817,i-0bf036b6503480a99,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.2496,i-0c0d07d66b039cebe,Amazon Elastic Compute Cloud - Compute,terrarium
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.2496,i-0cc9dcb0db2f9d205,Amazon Elastic Compute Cloud - Compute,terrarium
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,15.1447101198,i-0d6bd4ce6ce38cc9b,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,8.0006640619,i-0de9e3f8d3208cf03,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,8.0006492092,i-0e70fab85d559c615,Amazon Elastic Compute Cloud - Compute,dayhoff
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,0.3340552448,i-0ee653e618725d748,Amazon Elastic Compute Cloud - Compute,unallocated
2026-06-05T00:00:00Z,2026-06-06T00:00:00Z,True,50.8085031201,i-0f5fb7f4318358cf5,Amazon Elastic Compute Cloud - Compute,unallocated
