time_start,time_end,estimated,amount_usd,operation
2026-03-21,2026-04-01,False,0.0270044,A
2026-03-21,2026-04-01,False,0.0101996,AAAA
2026-03-21,2026-04-01,False,0.0197256,ALB
2026-03-21,2026-04-01,False,7.68e-05,ANY
2026-03-21,2026-04-01,False,0.006925015,AllocateAddressVPC
2026-03-21,2026-04-01,False,23.340037495,AssociateAddressVPC
2026-03-21,2026-04-01,False,0.000272,CAA
2026-03-21,2026-04-01,False,0.0007444,CNAME
2026-03-21,2026-04-01,False,0.0,CognitoEssentialsOperation
2026-03-21,2026-04-01,False,0.000615,CompleteMultipartUpload
2026-03-21,2026-04-01,False,0.2686503011,CostDataStorage
2026-03-21,2026-04-01,False,48.4671339799,CreateDBInstance:0014
2026-03-21,2026-04-01,False,98.0761830694,CreateDBInstance:0021
2026-03-21,2026-04-01,False,738.8131622852,CreateFileSystem:Lustre
2026-03-21,2026-04-01,False,0.0,CreateGrant
2026-03-21,2026-04-01,False,2.5e-05,CreateSecret
2026-03-21,2026-04-01,False,0.9621780562,CreateSnapshot
2026-03-21,2026-04-01,False,148.5796472911,CreateVolume-Gp3
2026-03-21,2026-04-01,False,1.064516112,CurrentKeys
2026-03-21,2026-04-01,False,2e-05,DNAME
2026-03-21,2026-04-01,False,0.0043368,DNSKEY
2026-03-21,2026-04-01,False,0.0,DashboardHour
2026-03-21,2026-04-01,False,0.0,Decrypt
2026-03-21,2026-04-01,False,0.0,DeleteDashboards
2026-03-21,2026-04-01,False,0.0,DeleteQueue
2026-03-21,2026-04-01,False,4.5e-05,DeleteSecret
2026-03-21,2026-04-01,False,0.0,DescribeKey
2026-03-21,2026-04-01,False,0.000165,DescribeSecret
2026-03-21,2026-04-01,False,6.5211423895,FargateTask
2026-03-21,2026-04-01,False,0.0,GET
2026-03-21,2026-04-01,False,0.0,GeneralPurposeBuckets
2026-03-21,2026-04-01,False,0.0,GenerateDataKey
2026-03-21,2026-04-01,False,0.0,GetDashboard
2026-03-21,2026-04-01,False,0.0,GetDataProtectionPolicy
2026-03-21,2026-04-01,False,0.0,GetKeyPolicy
2026-03-21,2026-04-01,False,0.0,GetKeyRotationStatus
2026-03-21,2026-04-01,False,4.4e-06,GetLensConfiguration
2026-03-21,2026-04-01,False,4.4e-06,GetLensConfigurationTagging
2026-03-21,2026-04-01,False,3.7512423456,GetObject
2026-03-21,2026-04-01,False,0.0,GetQueueAttributes
2026-03-21,2026-04-01,False,2e-05,GetRandomPassword
2026-03-21,2026-04-01,False,2.5e-05,GetResourcePolicy
2026-03-21,2026-04-01,False,0.0,GetSMSSandboxAccountStatus
2026-03-21,2026-04-01,False,0.01933,GetSecretValue
2026-03-21,2026-04-01,False,0.0,GetTopicAttributes
2026-03-21,2026-04-01,False,6.01593204,GuardDuty-CloudTrailEvents
2026-03-21,2026-04-01,False,0.0009939518,GuardDuty-LambdaNetworkLogs
2026-03-21,2026-04-01,False,0.0406197,GuardDuty-S3DataEvents
2026-03-21,2026-04-01,False,0.0905175712,GuardDuty-VPCFlowLogsDNSLogs
2026-03-21,2026-04-01,False,0.0003788,HTTPS
2026-03-21,2026-04-01,False,0.00200012,HeadBucket
2026-03-21,2026-04-01,False,0.0875992325,HeadObject
2026-03-21,2026-04-01,False,2.0,HostedZone
2026-03-21,2026-04-01,False,0.0,Hourly
2026-03-21,2026-04-01,False,0.0,HourlyStorageMetering
2026-03-21,2026-04-01,False,0.00062,InitiateMultipartUpload
2026-03-21,2026-04-01,False,0.001887996,InterZone-In
2026-03-21,2026-04-01,False,0.0024814192,InterZone-Out
2026-03-21,2026-04-01,False,0.0,Invocation
2026-03-21,2026-04-01,False,1.63e-07,Invoke
2026-03-21,2026-04-01,False,0.0,List
2026-03-21,2026-04-01,False,0.00693,ListAGGrants
2026-03-21,2026-04-01,False,0.00693,ListAGLocations
2026-03-21,2026-04-01,False,0.00693,ListAGs
2026-03-21,2026-04-01,False,2.171e-07,ListAccessPoints
