time_start,time_end,estimated,amount_usd,service
2026-03-21,2026-04-01,False,0.0,AWS CloudFormation
2026-03-21,2026-04-01,False,0.2686503011,AWS Cost Explorer
2026-03-21,2026-04-01,False,0.0,AWS Glue
2026-03-21,2026-04-01,False,1.064516112,AWS Key Management Service
2026-03-21,2026-04-01,False,1.63e-07,AWS Lambda
2026-03-21,2026-04-01,False,1.9528276787,AWS Secrets Manager
2026-03-21,2026-04-01,False,88.224917683,AWS Security Hub
2026-03-21,2026-04-01,False,0.0,AWS Service Catalog
2026-03-21,2026-04-01,False,1.62e-07,AWS Step Functions
2026-03-21,2026-04-01,False,7.471338384,AWS WAF
2026-03-21,2026-04-01,False,0.0,AWS X-Ray
2026-03-21,2026-04-01,False,2.13635e-05,Amazon CloudFront
2026-03-21,2026-04-01,False,0.0,Amazon Cognito
2026-03-21,2026-04-01,False,0.0049211613,Amazon DynamoDB
2026-03-21,2026-04-01,False,0.1231504824,Amazon EC2 Container Registry (ECR)
2026-03-21,2026-04-01,False,288.8875063011,EC2 - Other
2026-03-21,2026-04-01,False,661.5433159991,Amazon Elastic Compute Cloud - Compute
2026-03-21,2026-04-01,False,6.5211423895,Amazon Elastic Container Service
2026-03-21,2026-04-01,False,17.8235367274,Amazon Elastic Load Balancing
2026-03-21,2026-04-01,False,738.8131622852,Amazon FSx
2026-03-21,2026-04-01,False,2.41e-07,Amazon Glacier
2026-03-21,2026-04-01,False,4.0483168403,Amazon GuardDuty
2026-03-21,2026-04-01,False,0.0,Amazon Inspector
2026-03-21,2026-04-01,False,142.5877785492,Amazon Relational Database Service
2026-03-21,2026-04-01,False,2.0609576,Amazon Route 53
2026-03-21,2026-04-01,False,0.0,Amazon Simple Notification Service
2026-03-21,2026-04-01,False,0.0,Amazon Simple Queue Service
2026-03-21,2026-04-01,False,333.991371299,Amazon Simple Storage Service
2026-03-21,2026-04-01,False,43.001134913,Amazon Virtual Private Cloud
2026-03-21,2026-04-01,False,0.8989247215,AmazonCloudWatch
2026-03-21,2026-04-01,False,0.0,CloudWatch Events
2026-03-21,2026-04-01,False,0.0,Tax
2026-04-01,2026-05-01,False,0.0,AWS Certificate Manager
2026-04-01,2026-05-01,False,0.0,AWS CloudFormation
2026-04-01,2026-05-01,False,0.9391166236,AWS Cost Explorer
2026-04-01,2026-05-01,False,0.0,AWS Glue
2026-04-01,2026-05-01,False,3.000000024,AWS Key Management Service
2026-04-01,2026-05-01,False,1.3567e-06,AWS Lambda
2026-04-01,2026-05-01,False,4.4352410308,AWS Secrets Manager
2026-04-01,2026-05-01,False,91.6659815437,AWS Security Hub
2026-04-01,2026-05-01,False,0.0,AWS Service Catalog
2026-04-01,2026-05-01,False,1.8823e-06,AWS Step Functions
2026-04-01,2026-05-01,False,261.0595463814,AWS Support (Developer)
2026-04-01,2026-05-01,False,8.0212293499,AWS WAF
2026-04-01,2026-05-01,False,1.282e-07,Amazon CloudFront
2026-04-01,2026-05-01,False,0.14175,Amazon Cognito
2026-04-01,2026-05-01,False,0.0256479646,Amazon DynamoDB
2026-04-01,2026-05-01,False,0.4761489983,Amazon EC2 Container Registry (ECR)
2026-04-01,2026-05-01,False,685.8035060286,EC2 - Other
2026-04-01,2026-05-01,False,2038.3250046005,Amazon Elastic Compute Cloud - Compute
2026-04-01,2026-05-01,False,35.5698970163,Amazon Elastic Container Service
2026-04-01,2026-05-01,False,4.52052e-05,Amazon Elastic File System
2026-04-01,2026-05-01,False,18.9681630235,Amazon Elastic Load Balancing
