time_start,time_end,estimated,amount_usd,service,usage_type
2026-03-21,2026-04-01,False,0.0,AWS CloudFormation,USE1-Resource-Operation-Count
2026-03-21,2026-04-01,False,0.0,AWS CloudFormation,USW2-Resource-Operation-Count
2026-03-21,2026-04-01,False,0.2686503011,AWS Cost Explorer,USE1-CostDataStorage
2026-03-21,2026-04-01,False,0.0,AWS Glue,AFS1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APE1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APN1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APN2-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APN3-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APS1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APS2-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APS3-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APS4-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,APS5-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,CAN1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,EU-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,EUC1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,EUN1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,EUW2-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,EUW3-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,SAE1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,USE1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,USE2-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,USW1-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Glue,USW2-Catalog-Request
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,af-south-1-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-east-1-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-northeast-1-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-northeast-2-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-northeast-3-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-south-1-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-south-2-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-southeast-1-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-southeast-2-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ap-southeast-3-KMS-Requests
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ca-central-1-KMS-Requests
