time_start,time_end,estimated,amount_usd,tag_aws_parallelcluster_username,tag_aws_parallelcluster_username_value
2026-03-21,2026-04-01,False,1104.2858494744,aws-parallelcluster-username$,
2026-03-21,2026-04-01,False,768.8788784627,aws-parallelcluster-username$jmajor-daylily-service,jmajor-daylily-service
2026-03-21,2026-04-01,False,152.5093299994,aws-parallelcluster-username$jmajor-root,jmajor-root
2026-03-21,2026-04-01,False,313.6134334208,aws-parallelcluster-username$ubuntu,ubuntu
2026-04-01,2026-05-01,False,3976.5183263002,aws-parallelcluster-username$,
2026-04-01,2026-05-01,False,3588.08791143,aws-parallelcluster-username$jmajor-daylily-service,jmajor-daylily-service
2026-04-01,2026-05-01,False,627.2968444855,aws-parallelcluster-username$jmajor-root,jmajor-root
2026-04-01,2026-05-01,False,773.9090373862,aws-parallelcluster-username$michael.kennemer-mike-tmp,michael.kennemer-mike-tmp
2026-04-01,2026-05-01,False,368.7354869646,aws-parallelcluster-username$ubuntu,ubuntu
2026-05-01,2026-06-01,False,10307.4933251261,aws-parallelcluster-username$,
2026-05-01,2026-06-01,False,1772.5305298456,aws-parallelcluster-username$jmajor-daylily-service,jmajor-daylily-service
2026-05-01,2026-06-01,False,3476.2764567949,aws-parallelcluster-username$jmajor-root,jmajor-root
2026-05-01,2026-06-01,False,49.3480233163,aws-parallelcluster-username$michael.kennemer-michael.kennemer@lsmc.com,michael.kennemer-michael.kennemer@lsmc.com
2026-05-01,2026-06-01,False,1915.9958353459,aws-parallelcluster-username$michael.kennemer-mike-tmp,michael.kennemer-mike-tmp
2026-05-01,2026-06-01,False,6504.5773599412,aws-parallelcluster-username$ubuntu,ubuntu
2026-06-01,2026-06-19,True,11576.9898519124,aws-parallelcluster-username$,
2026-06-01,2026-06-19,True,39.1062222408,aws-parallelcluster-username$jmajor-daylily-service,jmajor-daylily-service
2026-06-01,2026-06-19,True,2697.1546853826,aws-parallelcluster-username$jmajor-root,jmajor-root
2026-06-01,2026-06-19,True,328.0239957089,aws-parallelcluster-username$michael.kennemer-michael.kennemer@lsmc.com,michael.kennemer-michael.kennemer@lsmc.com
2026-06-01,2026-06-19,True,7170.7487924795,aws-parallelcluster-username$ubuntu,ubuntu
